"selection3_name","selection3_url","selection3_selection4","selection3_selection5","selection3_selection6","selection3_selection7","selection3_selection9","selection3_selection8","selection3_selection10"
"BDA008","http://www.rpiparts.com/PartPage.asp?equip=6&oem=10&model=46&rpinum=BDA008","1-30015","SHAFT ADAPTOR","CENTRIFUGES
BIO-DYNAMICS
630 Select-A-Fuge","RPI Part #BDA008
OEM Part #1-30015
SHAFT ADAPTOR
Fits: Motor Shaft
Model(s) This Part Fits: 630 Select-A-Fuge
Catalog Page(s): 3-400
Part Description Updated: 3/26/2014","http://www.rpiparts.com/pimages/BDA008.GIF","",""
"BDA015","http://www.rpiparts.com/PartPage.asp?equip=6&oem=10&model=46&rpinum=BDA015","1-61716","HEAD COVER ASSEMBLY","CENTRIFUGES
BIO-DYNAMICS
630 Select-A-Fuge","RPI Part #BDA015
OEM Part #1-61716
HEAD COVER ASSEMBLY
Fits: Motor Shaft
Model(s) This Part Fits: 630 Select-A-Fuge
Catalog Page(s): 3-400
Part Description Updated: 11/16/2006","http://www.rpiparts.com/pimages/BDA015.GIF","",""
"BDB001","http://www.rpiparts.com/PartPage.asp?equip=6&oem=10&model=46&rpinum=BDB001","919808 / E-107","BRUSH","CENTRIFUGES
BIO-DYNAMICS
630 Select-A-Fuge","RPI Part #BDB001
OEM Part #919808 / E-107
BRUSH
2 per package
Size: .250"" x .187"" x .650"" lg.
Radius: None
Spring Length: 1.100""
MFG 1983-1987
Copper shunt wire
Fits: Brush Holder Assembly/Small brush Bodine motor with brush cap that has threaded OD and flat brass insert
Model(s) This Part Fits: 630 Select-A-Fuge, Hood & Motor: E026, E027, E028 & E029, Motor: Bodine (Small brush) - E-129 & E-130, Universal #24
Catalog Page(s): 3-400, 4-902, 4-1400, 13-100
Part Description Updated: 3/29/2013","http://www.rpiparts.com/pimages/BDB001.GIF","2 per package
Size: .250"" x .187"" x .650"" lg.
Radius: None
Spring Length: 1.100""
MFG 1983-1987
Copper shunt wire","Notes: Model #630 Select-A-Fuge (Serial #71000 and above)"
"BDB002","http://www.rpiparts.com/PartPage.asp?equip=6&oem=10&model=46&rpinum=BDB002","919807","BRUSH","CENTRIFUGES
BIO-DYNAMICS
630 Select-A-Fuge","RPI Part #BDB002
OEM Part #919807
BRUSH
2 per package
Size: 1/4 x 1/8 x 21/32
Spring Length: 1-3/8""
Fits: Brush Holder Assembly
Model(s) This Part Fits: 630 Select-A-Fuge
Catalog Page(s): 3-400, 13-100
Part Description Updated: 5/15/2008","http://www.rpiparts.com/pimages/BDB002.GIF","2 per package
Size: 1/4 x 1/8 x 21/32
Spring Length: 1-3/8""","Notes: Model #630 Select-A-Fuge (Serial #70999 and below)"
"BDC006","http://www.rpiparts.com/PartPage.asp?equip=6&oem=10&model=46&rpinum=BDC006","1-61705","SPEED CONTROL","CENTRIFUGES
BIO-DYNAMICS
630 Select-A-Fuge","RPI Part #BDC006
OEM Part #1-61705
SPEED CONTROL
Mounts in control panel
Model(s) This Part Fits: 630 Select-A-Fuge
Catalog Page(s): 3-400
Part Description Updated: 10/10/2006","http://www.rpiparts.com/pimages/BDC006.GIF","Mounts in control panel",""
"BDF009","http://www.rpiparts.com/PartPage.asp?equip=6&oem=10&model=46&rpinum=BDF009","1-06307","REPLACED BY RPF300","CENTRIFUGES
BIO-DYNAMICS
630 Select-A-Fuge","RPI Part #BDF009
OEM Part #1-06307
FOOT - REPLACED BY PART #RPF300
4 per package
Suction cup style 8-32 x 3/8 stud
Model(s) This Part Fits: 630 Select-A-Fuge
Catalog Page(s): 3-400
Part Description Updated: 5/15/2008","http://www.rpiparts.com/pimages/BDF009.GIF","4 per package
Suction cup style 8-32 x 3/8 stud",""
"BDG003","http://www.rpiparts.com/PartPage.asp?equip=6&oem=10&model=46&rpinum=BDG003","61706","NO LONGER AVAILABLE","CENTRIFUGES
BIO-DYNAMICS
630 Select-A-Fuge","RPI Part #BDG003
OEM Part #61706
LID GASKET
Fits: Housing Assembly
Model(s) This Part Fits: 630 Select-A-Fuge
Catalog Page(s): 3-400
Part Description Updated: 5/15/2008","http://www.rpiparts.com/pimages/BDG003.GIF","",""
"BDG004","http://www.rpiparts.com/PartPage.asp?equip=6&oem=10&model=46&rpinum=BDG004","106332","HEMATOCRIT GASKET","CENTRIFUGES
BIO-DYNAMICS
630 Select-A-Fuge","RPI Part #BDG004
OEM Part #106332
HEMATOCRIT GASKET
Fits: Head Assembly
Model(s) This Part Fits: 630 Select-A-Fuge
Catalog Page(s): 3-400
Part Description Updated: 10/1/2014","http://www.rpiparts.com/pimages/BDG004.GIF","",""
"BDL011","http://www.rpiparts.com/PartPage.asp?equip=6&oem=10&model=46&rpinum=BDL011","1-06345","BRAKE LOCK LINING","CENTRIFUGES
BIO-DYNAMICS
630 Select-A-Fuge","RPI Part #BDL011
OEM Part #1-06345
BRAKE LOCK LINING
12 per package
Fits: Brake Assembly
Model(s) This Part Fits: 630 Select-A-Fuge
Catalog Page(s): 3-400
Part Description Updated: 10/10/2006","http://www.rpiparts.com/pimages/BDL011.GIF","12 per package",""
"BDM007","http://www.rpiparts.com/PartPage.asp?equip=6&oem=10&model=46&rpinum=BDM007","1-61703","MOTOR ASSEMBLY","CENTRIFUGES
BIO-DYNAMICS
630 Select-A-Fuge","RPI Part #BDM007
OEM Part #1-61703
MOTOR ASSEMBLY
115VAC, 60 Hz., 1/10 HP, 10,000 RPM
Includes motor, and (2) wiring connector
Model(s) This Part Fits: 630 Select-A-Fuge
Catalog Page(s): 3-400
Part Description Updated: 10/30/2000","http://www.rpiparts.com/pimages/BDM007.GIF","115VAC, 60 Hz., 1/10 HP, 10,000 RPM
Includes motor, and (2) wiring connector",""
