"selection3_name","selection3_url","selection3_selection4","selection3_selection5","selection3_selection6","selection3_selection7","selection3_selection8","selection3_selection9","selection3_selection10"
"RCB603","http://www.rpiparts.com/PartPage.asp?equip=27&oem=54&model=416&rpinum=RCB603","374G-3","BRUSH","DENTAL LABORATORY EQUIPMENT
RITTER
C","RPI Part #RCB603
OEM Part #374G-3
BRUSH
2 per package
Size: 3/32"" x 1/4"" x 1/2"" lg.
Bevel: 30˚
Fits: Ritter Engine
Model(s) This Part Fits: C, D, Models C & D
Catalog Page(s): 4-1400, 13-100
Part Description Updated: 5/15/2008","2 per package
Size: 3/32"" x 1/4"" x 1/2"" lg.
Bevel: 30˚","http://www.rpiparts.com/pimages/RCB603.GIF",""
"RCB603","http://www.rpiparts.com/PartPage.asp?equip=27&oem=54&model=417&rpinum=RCB603","374G-3","BRUSH","DENTAL LABORATORY EQUIPMENT
RITTER
D","RPI Part #RCB603
OEM Part #374G-3
BRUSH
2 per package
Size: 3/32"" x 1/4"" x 1/2"" lg.
Bevel: 30˚
Fits: Ritter Engine
Model(s) This Part Fits: C, D, Models C & D
Catalog Page(s): 4-1400, 13-100
Part Description Updated: 5/15/2008","2 per package
Size: 3/32"" x 1/4"" x 1/2"" lg.
Bevel: 30˚","http://www.rpiparts.com/pimages/RCB603.GIF",""
"RCB604","http://www.rpiparts.com/PartPage.asp?equip=27&oem=54&model=418&rpinum=RCB604","374G37","BRUSH","DENTAL LABORATORY EQUIPMENT
RITTER
E","RPI Part #RCB604
OEM Part #374G37
BRUSH
2 per package
Size: 1/8"" x 1/4"" x 1/2"" lg.
Bevel: 30˚
Fits: Ritter Engine
Model(s) This Part Fits: E, F, Models E & F
Catalog Page(s): 4-1400, 13-100
Part Description Updated: 5/15/2008","2 per package
Size: 1/8"" x 1/4"" x 1/2"" lg.
Bevel: 30˚","http://www.rpiparts.com/pimages/RCB604.GIF",""
"RCB604","http://www.rpiparts.com/PartPage.asp?equip=27&oem=54&model=419&rpinum=RCB604","374G37","BRUSH","DENTAL LABORATORY EQUIPMENT
RITTER
F","RPI Part #RCB604
OEM Part #374G37
BRUSH
2 per package
Size: 1/8"" x 1/4"" x 1/2"" lg.
Bevel: 30˚
Fits: Ritter Engine
Model(s) This Part Fits: E, F, Models E & F
Catalog Page(s): 4-1400, 13-100
Part Description Updated: 5/15/2008","2 per package
Size: 1/8"" x 1/4"" x 1/2"" lg.
Bevel: 30˚","http://www.rpiparts.com/pimages/RCB604.GIF",""
"WLB002","http://www.rpiparts.com/PartPage.asp?equip=27&oem=73&model=3172&rpinum=WLB002","AS404","BELT (6' 6"")","DENTAL LABORATORY EQUIPMENT
WELLS DENTAL (ENGINE UNITS: U900, U901, U903 & U904)
Arms: AS011 (Piccolo engine arm)","RPI Part #WLB002
OEM Part #AS404
BELT (6' 6"")
Material: Pyrathane
Size: .093"" dia. C/S x 6' 6"" circumference
Model(s) This Part Fits: Arms: AS011 (Piccolo engine arm), Arms: AS051 (Whisper short arm)
Catalog Page(s): 4-902
Part Description Updated: 6/7/2013","Material: Pyrathane
Size: .093"" dia. C/S x 6' 6"" circumference","http://www.rpiparts.com/pimages/WLB002.GIF",""
"WLB003","http://www.rpiparts.com/PartPage.asp?equip=27&oem=73&model=3170&rpinum=WLB003","AS406","BELT (9' 8"")","DENTAL LABORATORY EQUIPMENT
WELLS DENTAL (ENGINE UNITS: U900, U901, U903 & U904)
Arms: AS012 (Standard engine arm)","RPI Part #WLB003
OEM Part #AS406
BELT (9' 8"")
Material: Pyrathane
Size: .093"" dia. C/S x 9' 8"" circumference
Model(s) This Part Fits: Arms: AS012 (Standard engine arm), Arms: AS052 (Whisper long arm)
Catalog Page(s): 4-902
Part Description Updated: 6/7/2013","Material: Pyrathane
Size: .093"" dia. C/S x 9' 8"" circumference","http://www.rpiparts.com/pimages/WLB003.GIF",""
"WLB002","http://www.rpiparts.com/PartPage.asp?equip=27&oem=73&model=3171&rpinum=WLB002","AS404","BELT (6' 6"")","DENTAL LABORATORY EQUIPMENT
WELLS DENTAL (ENGINE UNITS: U900, U901, U903 & U904)
Arms: AS051 (Whisper short arm)","RPI Part #WLB002
OEM Part #AS404
BELT (6' 6"")
Material: Pyrathane
Size: .093"" dia. C/S x 6' 6"" circumference
Model(s) This Part Fits: Arms: AS011 (Piccolo engine arm), Arms: AS051 (Whisper short arm)
Catalog Page(s): 4-902
Part Description Updated: 6/7/2013","Material: Pyrathane
Size: .093"" dia. C/S x 6' 6"" circumference","http://www.rpiparts.com/pimages/WLB002.GIF",""
"WLB003","http://www.rpiparts.com/PartPage.asp?equip=27&oem=73&model=3169&rpinum=WLB003","AS406","BELT (9' 8"")","DENTAL LABORATORY EQUIPMENT
WELLS DENTAL (ENGINE UNITS: U900, U901, U903 & U904)
Arms: AS052 (Whisper long arm)","RPI Part #WLB003
OEM Part #AS406
BELT (9' 8"")
Material: Pyrathane
Size: .093"" dia. C/S x 9' 8"" circumference
Model(s) This Part Fits: Arms: AS012 (Standard engine arm), Arms: AS052 (Whisper long arm)
Catalog Page(s): 4-902
Part Description Updated: 6/7/2013","Material: Pyrathane
Size: .093"" dia. C/S x 9' 8"" circumference","http://www.rpiparts.com/pimages/WLB003.GIF",""
"CAF011","http://www.rpiparts.com/PartPage.asp?equip=27&oem=73&model=3173&rpinum=CAF011","421285 / 42021004 / 850404 /0200-608-000","RUBBER FOOT","DENTAL LABORATORY EQUIPMENT
WELLS DENTAL (ENGINE UNITS: U900, U901, U903 & U904)
Foot Controls: F011 & F013","RPI Part #CAF011
OEM Part #421285 / 42021004 / 850404 /0200-608-000
RUBBER FOOT
4 per package
Material: Black rubber with molded in steel washer
Size: ~.75"" O.D. x .50"" lg.; #10 clearance hole
See Notes below
Fits: Chassis/Base Plate
Model(s) This Part Fits: DC-185, DC-190, E500 TW, E600, EK-5, EK-5A, EK-6, EK-670, EK-7, EK-8, Foot Controls: F011 & F013, Hood & Motor: E026, E027, E028 & E029, MC-600, Statim 2000, Statim 5000, Statim G4 2000, Statim G4 5000, TMS-302, Triac
Catalog Page(s): 3-511, 4-902, 5-200, 10-605, 10-1509
Part Description Updated: 7/30/2014","4 per package
Material: Black rubber with molded in steel washer
Size: ~.75"" O.D. x .50"" lg.; #10 clearance hole
See Notes below","http://www.rpiparts.com/pimages/CAF011.GIF","Notes: Fits Model Triac Serial #144999 and below.
Also Included In:
Rear-Rubber Foot Assembly (RPI Part #AMF180)
Front-Rubber Foot Assembly (RPI Part#AMF166)"
"RPF051","http://www.rpiparts.com/PartPage.asp?equip=27&oem=73&model=3173&rpinum=RPF051","90265","FUSE (5A, 250V) - 1/4 X 1-1/4 - FAST ACTING","DENTAL LABORATORY EQUIPMENT
WELLS DENTAL (ENGINE UNITS: U900, U901, U903 & U904)
Foot Controls: F011 & F013","RPI Part #RPF051
OEM Part #90265
FUSE (5A, 250V) - 1/4 X 1-1/4 - FAST ACTING
5 per package
Type: AGC Glass, Fast Acting
Size: 1/4"" dia. x 1-1/4"" lg.
Also included in: Fuse Kit (Fast-Acting) (RPI Part #RPK410)
Fits: Fuse Holder / Foot control fuse holder
Model(s) This Part Fits: Foot Controls: F011 & F013, Peri Pro, Peri Pro II, Peri Pro III
Catalog Page(s): 4-604, 4-902, 6-306
Part Description Updated: 9/8/2014","5 per package
Type: AGC Glass, Fast Acting
Size: 1/4"" dia. x 1-1/4"" lg.
Also included in: Fuse Kit (Fast-Acting) (RPI Part #RPK410)","http://www.rpiparts.com/pimages/RPF051.GIF",""
"BDB001","http://www.rpiparts.com/PartPage.asp?equip=27&oem=73&model=3174&rpinum=BDB001","919808 / E-107","BRUSH","DENTAL LABORATORY EQUIPMENT
WELLS DENTAL (ENGINE UNITS: U900, U901, U903 & U904)
Hood & Motor: E026, E027, E028 & E029","RPI Part #BDB001
OEM Part #919808 / E-107
BRUSH
2 per package
Size: .250"" x .187"" x .650"" lg.
Radius: None
Spring Length: 1.100""
MFG 1983-1987
Copper shunt wire
Fits: Brush Holder Assembly/Small brush Bodine motor with brush cap that has threaded OD and flat brass insert
Model(s) This Part Fits: 630 Select-A-Fuge, Hood & Motor: E026, E027, E028 & E029, Motor: Bodine (Small brush) - E-129 & E-130, Universal #24
Catalog Page(s): 3-400, 4-902, 4-1400, 13-100
Part Description Updated: 3/29/2013","2 per package
Size: .250"" x .187"" x .650"" lg.
Radius: None
Spring Length: 1.100""
MFG 1983-1987
Copper shunt wire","http://www.rpiparts.com/pimages/BDB001.GIF","Notes: Model #630 Select-A-Fuge (Serial #71000 and above)"
"CAF011","http://www.rpiparts.com/PartPage.asp?equip=27&oem=73&model=3174&rpinum=CAF011","421285 / 42021004 / 850404 /0200-608-000","RUBBER FOOT","DENTAL LABORATORY EQUIPMENT
WELLS DENTAL (ENGINE UNITS: U900, U901, U903 & U904)
Hood & Motor: E026, E027, E028 & E029","RPI Part #CAF011
OEM Part #421285 / 42021004 / 850404 /0200-608-000
RUBBER FOOT
4 per package
Material: Black rubber with molded in steel washer
Size: ~.75"" O.D. x .50"" lg.; #10 clearance hole
See Notes below
Fits: Chassis/Base Plate
Model(s) This Part Fits: DC-185, DC-190, E500 TW, E600, EK-5, EK-5A, EK-6, EK-670, EK-7, EK-8, Foot Controls: F011 & F013, Hood & Motor: E026, E027, E028 & E029, MC-600, Statim 2000, Statim 5000, Statim G4 2000, Statim G4 5000, TMS-302, Triac
Catalog Page(s): 3-511, 4-902, 5-200, 10-605, 10-1509
Part Description Updated: 7/30/2014","4 per package
Material: Black rubber with molded in steel washer
Size: ~.75"" O.D. x .50"" lg.; #10 clearance hole
See Notes below","http://www.rpiparts.com/pimages/CAF011.GIF","Notes: Fits Model Triac Serial #144999 and below.
Also Included In:
Rear-Rubber Foot Assembly (RPI Part #AMF180)
Front-Rubber Foot Assembly (RPI Part#AMF166)"
"DRB001","http://www.rpiparts.com/PartPage.asp?equip=27&oem=73&model=3174&rpinum=DRB001","E-105","BRUSH","DENTAL LABORATORY EQUIPMENT
WELLS DENTAL (ENGINE UNITS: U900, U901, U903 & U904)
Hood & Motor: E026, E027, E028 & E029","RPI Part #DRB001
OEM Part #E-105
BRUSH
2 per package
Size: .250"" x .375"" x .817"" lg.
Radius: .625""
Spring length: 1.38""
Copper shunt wire
Fits: Brush Holder Assembly/Large Brush Motor E-131
Model(s) This Part Fits: Hood & Motor: E026, E027, E028 & E029, L-708, L-711, Motor: Bodine (Large brush) - E-131
Catalog Page(s): 3-600, 4-902, 4-1400, 13-100
Part Description Updated: 10/2/2012","2 per package
Size: .250"" x .375"" x .817"" lg.
Radius: .625""
Spring length: 1.38""
Copper shunt wire","http://www.rpiparts.com/pimages/DRB001.GIF",""
"EMB001","http://www.rpiparts.com/PartPage.asp?equip=27&oem=73&model=3174&rpinum=EMB001","E-106","BRUSH","DENTAL LABORATORY EQUIPMENT
WELLS DENTAL (ENGINE UNITS: U900, U901, U903 & U904)
Hood & Motor: E026, E027, E028 & E029","RPI Part #EMB001
OEM Part #E-106
BRUSH
2 per package
Size: .250"" x .250"" x .657"" lg.
Radius: .500""
Spring Length: 1.343""
Fits: Brush holder / WSM Holder
Model(s) This Part Fits: ""N"" Series, ""N"" Series, Hood & Motor: E026, E027, E028 & E029, Motor: WSM
Catalog Page(s): 4-902, 4-1400, 13-100
Part Description Updated: 3/29/2013","2 per package
Size: .250"" x .250"" x .657"" lg.
Radius: .500""
Spring Length: 1.343""","http://www.rpiparts.com/pimages/EMB001.GIF",""
"PCC004","http://www.rpiparts.com/PartPage.asp?equip=27&oem=73&model=3174&rpinum=PCC004","9390401 / 004288 / 33071 / 6001C / H98159","POWER CORD WITHOUT CONNECTORS (13A @ 125VAC, 8 ft.)","DENTAL LABORATORY EQUIPMENT
WELLS DENTAL (ENGINE UNITS: U900, U901, U903 & U904)
Hood & Motor: E026, E027, E028 & E029","RPI Part #PCC004
OEM Part #9390401 / 004288 / 33071 / 6001C / H98159
POWER CORD WITHOUT CONNECTORS (13A @ 125VAC, 8 ft.)
Length: 8 ft.; Color: Black
16/3 HSJO; 105°C; 13A @ 125VAC
Plug Type: NEMA 5-15P
Connector Type: None; .350"" OD Cord
Service Tip: When Replacing power cord, use a new Strain Relief Bushing
Also available: Strain Relief Bushings (RPI Part #RPB164) and (RPI Part# RPB167)
For a complete listing of related parts, click this link. (Adobe PDF)
Fits: Back panel / Motor pump / All Tabletop Sterilizers
Model(s) This Part Fits: 1000, 1000R, 1200, 1250, 650, 660, 666x, 7, 704-7000, 704-8000, 704-9000, 714, 714, 750, 750, 777, 800, 800V, 999 Series, All Porcelain Ovens, All Vac-U-Vestor Models, Aquaclave 10, Aquaclave 20, Aquaclave 30, Chemiclave 4000, Chemiclave 5000, Chemiclave 5500, Chemiclave 6000, Chemiclave 7000, Chemiclave 8000, Chemiclave D, Chemiclave E, F, GLS10, GLS8, GN, Hood & Motor: E026, E027, E028 & E029, HP, HP2, M7, Majestic V-8080, Mark II, Mark III, Mark IV, OCM, OCR, OCR+, Regency V-8020, Sentry, V-8000, Vac-U-Vestor Table Top Models, Validator 10, Validator 8, Validator Plus 10, Validator Plus 8, Verniclave V-2000A, VR-816
Catalog Page(s): 4-900, 4-902, 4-903, 6-302, 10-600, 10-604, 10-1005, 10-801, 10-805, 10-1101, 10-1205, 10-1218, 10-1224, 10-1230, 10-1401, 10-1601, 10-1801, 10-702, 10-903, 10-1218, 10-603
Part Description Updated: 5/26/2016","Length: 8 ft.; Color: Black
16/3 HSJO; 105°C; 13A @ 125VAC
Plug Type: NEMA 5-15P
Connector Type: None; .350"" OD Cord
Service Tip: When Replacing power cord, use a new Strain Relief Bushing
Also available: Strain Relief Bushings (RPI Part #RPB164) and (RPI Part# RPB167)
For a complete listing of related parts, click this link. (Adobe PDF)","http://www.rpiparts.com/pimages/PCC004.GIF",""
