"selection3_name","selection3_url","selection3_selection4","selection3_selection5","selection3_selection6","selection3_selection7","selection3_selection8","selection3_selection9","selection3_selection10"
"RPB164","http://www.rpiparts.com/PartPage.asp?equip=32&oem=204&model=3182&rpinum=RPB164","711314","STRAIN RELIEF BUSHING","DENTAL ULTRASONIC CLEANERS
PATTERSON DENTAL
Patterson Dental","RPI Part #RPB164
OEM Part #711314
STRAIN RELIEF BUSHING
8 per package
Type: SR-6N3-4
Accommodates: .325"" - .360"" dia. round cable
Mounting Hole: 5/8"" dia. x 1/8"" thk. panel max.
Included in: Power Cord Kits (RPI Part #CAK120 & RPI Part #CAK121) and Strain Relief Bushing Kit (RPI Part #RPK412)
Also available: Strain Relief Bushing Pliers (RPI Part #RPT172)
Fits: Motor Hood, Chassis
Model(s) This Part Fits: 421105 Nutator, 421106 Nutator, 74710 Wall Transformer, Henry Schein Dental, Hood & Motor: E026, E027, E028 & E029, L & R, Ney (Dentsply), Patterson Dental
Catalog Page(s): 3-1100, 4-902, 4-1551, 5-501, 6-305
Part Description Updated: 10/23/2015","8 per package
Type: SR-6N3-4
Accommodates: .325"" - .360"" dia. round cable
Mounting Hole: 5/8"" dia. x 1/8"" thk. panel max.
Included in: Power Cord Kits (RPI Part #CAK120 & RPI Part #CAK121) and Strain Relief Bushing Kit (RPI Part #RPK412)
Also available: Strain Relief Bushing Pliers (RPI Part #RPT172)","http://www.rpiparts.com/pimages/RPB164.GIF",""
"RPB640","http://www.rpiparts.com/PartPage.asp?equip=32&oem=204&model=3182&rpinum=RPB640","(OEM Part # Not Available)","BUMPER","DENTAL ULTRASONIC CLEANERS
PATTERSON DENTAL
Patterson Dental","RPI Part #RPB640
OEM Part # (OEM Part # Not Available)
BUMPER
4 per package
Material: Polyurethane
Size: ~ 1/2"" square x 15/64"" H
Self adhesive backing
Fits: Chassis
Model(s) This Part Fits: Henry Schein Dental, L & R, Ney (Dentsply), Patterson Dental
Catalog Page(s): 4-1551
Part Description Updated: 6/25/2014","4 per package
Material: Polyurethane
Size: ~ 1/2"" square x 15/64"" H
Self adhesive backing","http://www.rpiparts.com/pimages/RPB640.GIF",""
"RPC028","http://www.rpiparts.com/PartPage.asp?equip=32&oem=204&model=3182&rpinum=RPC028","(OEM Part # Not Available)","HOSPITAL GRADE POWER CORD WITHOUT CONNECTORS (10A @ 125VAC, 10 ft.)","DENTAL ULTRASONIC CLEANERS
PATTERSON DENTAL
Patterson Dental","RPI Part #RPC028
OEM Part # (OEM Part # Not Available)
HOSPITAL GRADE POWER CORD WITHOUT CONNECTORS (10A @ 125VAC, 10 ft.)
Length: 10 ft.
18/3 SJT, 60˚C; 10A @ 125VAC
Plug Type : NEMA 5-15P; Connector Type: None .320"" O.D. cord
Color: Gray;
Included in: Power Cord Kit (RPI Part #CAK120)
Also available: Strain Relief Bushings (RPI Part #'s RPB164 and RPB167)
For a complete listing of related parts, click this link. (Adobe PDF)
Fits: Chassis
Model(s) This Part Fits: Henry Schein Dental, L & R, Ney (Dentsply), Patterson Dental
Catalog Page(s): 4-1551, 6-301
Part Description Updated: 11/18/2014","Length: 10 ft.
18/3 SJT, 60˚C; 10A @ 125VAC
Plug Type : NEMA 5-15P; Connector Type: None .320"" O.D. cord
Color: Gray;
Included in: Power Cord Kit (RPI Part #CAK120)
Also available: Strain Relief Bushings (RPI Part #'s RPB164 and RPB167)
For a complete listing of related parts, click this link. (Adobe PDF)","http://www.rpiparts.com/pimages/RPC028.GIF",""
"RPC557","http://www.rpiparts.com/PartPage.asp?equip=32&oem=204&model=3182&rpinum=RPC557","761069; 554102003","HOSPITAL GRADE POWER CORD (13A @ 125VAC, 8 ft.)","DENTAL ULTRASONIC CLEANERS
PATTERSON DENTAL
Patterson Dental","RPI Part #RPC557
OEM Part #761069; 554102003
HOSPITAL GRADE POWER CORD (13A @ 125VAC, 8 ft.)
Length: 8 ft.; Color: Gray
16/3 SJT, 105°C; 13A @ 125VAC
Plug: NEMA 5-15P
Connector: EN60320-C13
For a complete listing of related parts, click this link. (Adobe PDF)
Fits: Power Input Module
Model(s) This Part Fits: 767 Wall Transformer, Cavitron® BOBCAT® 25 KHz - G115, Cavitron® BOBCAT® Pro - G130, Cavitron® DualSelect™ Dispensing System - G118, Cavitron® JET Plus™ - G132, Cavitron® JET with SPS™ - G120, Cavitron® Plus™ Scaler - G131, Cavitron® Prophy-JET® Air Polishing System - G122, Cavitron® Select™ Scaler 25K - G121, Cavitron® Select™ SPS™ 30K - G124, Cavitron® SPS™ Surface Mount Ultrasonic Scaler - G98a, Cavitron® SPS™ Ultrasonic Scaler - G119, Dinamap™ 8100, Dinamap™ 8100T, EK-10, Henry Schein Dental, L & R, Ney (Dentsply), Patterson Dental
Catalog Page(s): 4-1551, 5-201, 5-301, 5-501, 6-301
Part Description Updated: 9/9/2016","Length: 8 ft.; Color: Gray
16/3 SJT, 105°C; 13A @ 125VAC
Plug: NEMA 5-15P
Connector: EN60320-C13
For a complete listing of related parts, click this link. (Adobe PDF)","http://www.rpiparts.com/pimages/RPC557.GIF","Notes:
Also Available:
Hospital Grade Power Cord (13A @ 125VAC, 1.5 ft.) (RPI Part #RPC868)
Hospital Grade Power Cord (13A @ 125VAC, 3 ft.) (RPI Part #RPC869)
AC Inlet Receptacle (RPI Part #RPR583)
AC Inlet Receptacle (RPI Part #RPR710)
Power Input Module (RPI Part #GEM015)
Power Module (RPI Part #HBM011)
Snap-In AC Receptacle (RPI Part #RPR290)"
"RPC769","http://www.rpiparts.com/PartPage.asp?equip=32&oem=204&model=3182&rpinum=RPC769","(OEM Part # Not Available)","SWITCH COVER","DENTAL ULTRASONIC CLEANERS
PATTERSON DENTAL
Patterson Dental","RPI Part #RPC769
OEM Part # (OEM Part # Not Available)
SWITCH COVER
Fits .82"" x .59"" switch bezel
This rubber switch cover will extend the life of the switch by preventing moisture from entering into it
Material: Clear silicone rubber
Also included in: Switch (RPI Part #RPS768)
Fits: Switch
Model(s) This Part Fits: Henry Schein Dental, L & R, Ney (Dentsply), Patterson Dental
Catalog Page(s): 4-1550
Part Description Updated: 6/25/2014","Fits .82"" x .59"" switch bezel
This rubber switch cover will extend the life of the switch by preventing moisture from entering into it
Material: Clear silicone rubber
Also included in: Switch (RPI Part #RPS768)","http://www.rpiparts.com/pimages/RPC769.GIF",""
"RPF529","http://www.rpiparts.com/PartPage.asp?equip=32&oem=204&model=3182&rpinum=RPF529","32025","FUSE (1A, 250V) - 5MM X 20MM - TIME DELAY","DENTAL ULTRASONIC CLEANERS
PATTERSON DENTAL
Patterson Dental","RPI Part #RPF529
OEM Part #32025
FUSE (1A, 250V) - 5MM X 20MM - TIME DELAY
5 per package
Type: Glass
Size: 5mm dia. x 20mm lg. - Time Delay
Also in Fuse Kit ( RPI Part #RPK538 )
Model(s) This Part Fits: Henry Schein Dental, L & R, Ney (Dentsply), Patterson Dental
Catalog Page(s): 6-306
Part Description Updated: 9/12/2014","5 per package
Type: Glass
Size: 5mm dia. x 20mm lg. - Time Delay
Also in Fuse Kit ( RPI Part #RPK538 )","http://www.rpiparts.com/pimages/RPF529.GIF",""
"RPF531","http://www.rpiparts.com/PartPage.asp?equip=32&oem=204&model=3182&rpinum=RPF531","32027","FUSE (2A, 250V) - 5MM X 20MM - TIME DELAY","DENTAL ULTRASONIC CLEANERS
PATTERSON DENTAL
Patterson Dental","RPI Part #RPF531
OEM Part #32027
FUSE (2A, 250V) - 5MM X 20MM - TIME DELAY
5 per package
Type: Glass
Size: 5mm dia. x 20mm lg. - Time Delay
Also in Fuse Kit ( RPI Part #RPK538 )
Model(s) This Part Fits: Henry Schein Dental, L & R, Ney (Dentsply), Patterson Dental
Catalog Page(s): 6-306
Part Description Updated: 9/12/2014","5 per package
Type: Glass
Size: 5mm dia. x 20mm lg. - Time Delay
Also in Fuse Kit ( RPI Part #RPK538 )","http://www.rpiparts.com/pimages/RPF531.GIF",""
"RPF532","http://www.rpiparts.com/PartPage.asp?equip=32&oem=204&model=3182&rpinum=RPF532","32028","FUSE (2-1/2A, 250V) - 5MM X 20MM - TIME DELAY","DENTAL ULTRASONIC CLEANERS
PATTERSON DENTAL
Patterson Dental","RPI Part #RPF532
OEM Part #32028
FUSE (2-1/2A, 250V) - 5MM X 20MM - TIME DELAY
5 per package
Type: Glass
Size: 5mm dia. x 20mm lg. - Time Delay
Also in Fuse Kit ( RPI Part #RPK538 )
Model(s) This Part Fits: Henry Schein Dental, L & R, Ney (Dentsply), Patterson Dental
Catalog Page(s): 6-306
Part Description Updated: 9/12/2014","5 per package
Type: Glass
Size: 5mm dia. x 20mm lg. - Time Delay
Also in Fuse Kit ( RPI Part #RPK538 )","http://www.rpiparts.com/pimages/RPF532.GIF",""
"RPF534","http://www.rpiparts.com/PartPage.asp?equip=32&oem=204&model=3182&rpinum=RPF534","32030","FUSE (5A, 250V) - 5MM X 20MM - TIME DELAY","DENTAL ULTRASONIC CLEANERS
PATTERSON DENTAL
Patterson Dental","RPI Part #RPF534
OEM Part #32030
FUSE (5A, 250V) - 5MM X 20MM - TIME DELAY
5 per package
Type: Glass
Size: 5mm dia. x 20mm lg. - Time Delay
Also in Fuse Kit ( RPI Part #RPK538 )
Model(s) This Part Fits: Henry Schein Dental, L & R, Ney (Dentsply), Patterson Dental
Catalog Page(s): 6-306
Part Description Updated: 9/12/2014","5 per package
Type: Glass
Size: 5mm dia. x 20mm lg. - Time Delay
Also in Fuse Kit ( RPI Part #RPK538 )","http://www.rpiparts.com/pimages/RPF534.GIF",""
"RPF535","http://www.rpiparts.com/PartPage.asp?equip=32&oem=204&model=3182&rpinum=RPF535","30125; 215 100 074","FUSE (8A, 250V) -5MM X 20MM - TIME DELAY","DENTAL ULTRASONIC CLEANERS
PATTERSON DENTAL
Patterson Dental","RPI Part #RPF535
OEM Part #30125; 215 100 074
FUSE (8A, 250V) -5MM X 20MM - TIME DELAY
5 per package
Type: Glass, Time Delay
Size: 5mm dia. x 20mm lg.
Included in: Fuse Kit (RPI Part #RPK538)
Also available: Line Filter Assembly (RPI Part #CVA010)
Fits: Line Filter Assembly in 120V Units
Model(s) This Part Fits: Force FX, Force FX-C, Henry Schein Dental, L & R, Ney (Dentsply), Patterson Dental
Catalog Page(s): 6-306
Part Description Updated: 1/29/2015","5 per package
Type: Glass, Time Delay
Size: 5mm dia. x 20mm lg.
Included in: Fuse Kit (RPI Part #RPK538)
Also available: Line Filter Assembly (RPI Part #CVA010)","http://www.rpiparts.com/pimages/RPF535.GIF",""
