"selection3_name","selection3_url","selection3_selection4","selection3_selection5","selection3_selection6","selection3_selection7","selection3_selection8","selection3_selection9","selection3_selection10"
"GOG046","http://www.rpiparts.com/PartPage.asp?equip=35&oem=86&model=3881&rpinum=GOG046","01-90-3059; 55616; 62947800","VACUUM GAUGE","DENTAL VACUUM UNITS
MATRX/MIDMARK
DryMax 4000/8000","RPI Part #GOG046
OEM Part #01-90-3059; 55616; 62947800
VACUUM GAUGE
Size: 1-1/2"" dia.
Dual Scale: 0 to 30 In. Hg (0 to 1 Bar)
Material: Stainless steel case and bezel
Port: 1/8"" MPT center back mount
Also available: Vacuum Gauge (RPI Part #VPG044)
Fits: Muffler Bar/Manifold Assembly
Model(s) This Part Fits: CV10, CV10R, CV3, CV3R, CV5, CV5R, CV6, CV6R, Diaphragm Pumps (300 Series), DryMax 4000/8000, Maximizer 1000, Maximizer 1000-2P, Maximizer 2000, Maximizer 2000-2P, Minimizer 1000, Minimizer 1000-2P, Minimizer 2000, Minimizer 2000-2P, PowerMax™ PM1, PowerMax™ PM3, PowerMax™ PM4, VacStar 2, VacStar 20, VacStar 4, VacStar 40, VacStar 50, VacStar 50H, VacStar 80, VacStar 80H
Catalog Page(s): 2-200, 4-1702
Part Description Updated: 10/23/2015","Size: 1-1/2"" dia.
Dual Scale: 0 to 30 In. Hg (0 to 1 Bar)
Material: Stainless steel case and bezel
Port: 1/8"" MPT center back mount
Also available: Vacuum Gauge (RPI Part #VPG044)","http://www.rpiparts.com/pimages/GOG046.GIF",""
"RPT959","http://www.rpiparts.com/PartPage.asp?equip=35&oem=86&model=3881&rpinum=RPT959","77008009","TUBING (1/4"" ID x 3/8"" OD CLEAR POLYETHYLENE)","DENTAL VACUUM UNITS
MATRX/MIDMARK
DryMax 4000/8000","RPI Part #RPT959
OEM Part #77008009
TUBING (1/4"" ID x 3/8"" OD CLEAR POLYETHYLENE)
Sold by the foot (reel not included)
Included in: Tank Washout Kit (RPI Part #VPK123)
Fits: 3/8"" Polyflo Fitting or 1/4"" Barb Fitting
Model(s) This Part Fits: CAS 20-Gallon, CAS 4-Gallon, CAS 8-Gallon (New Style), CAS 8-Gallon (Old Style), DryMax 4000/8000, PowerVac G G10, PowerVac G G14, PowerVac G G3, PowerVac G G5, PowerVac G G6, PowerVac G G7, PowerVac P10, PowerVac P14, PowerVac P3, PowerVac P5, PowerVac P6, PowerVac P7
Part Description Updated: 4/11/2016","Sold by the foot (reel not included)
Included in: Tank Washout Kit (RPI Part #VPK123)","http://www.rpiparts.com/pimages/RPT959.GIF",""
"VPC136","http://www.rpiparts.com/PartPage.asp?equip=35&oem=86&model=3881&rpinum=VPC136","62937303; PVC50700/AVAVPF2; H5181/H5216","SOLIDS COLLECTOR (1-1/2"")","DENTAL VACUUM UNITS
MATRX/MIDMARK
DryMax 4000/8000","RPI Part #VPC136
OEM Part #62937303; PVC50700/AVAVPF2; H5181/H5216
SOLIDS COLLECTOR (1-1/2"")
Ports: 1-1/2"" FPT
Material: Black plastic body with clear plastic bowl
Includes: Bowl, Bowl Gasket (RPI Part #VPG081) and Screen (20 Mesh) (RPI Part #VPS140)
Also available: Screen (50 Mesh) (RPI Part #VPS139), Solids Collector Replacement Kit (RPI Part #VPK137) and Solids Collector Replacement Kit (Case of 8) (RPI Part #VPK138)
Fits: Separator Assembly
Model(s) This Part Fits: ADV4S, ADV8T, DryMax 4000/8000, Mojave V15, Mojave V3, Mojave V5, Mojave V7, PowerVac G G10, PowerVac G G14, PowerVac G G3, PowerVac G G5, PowerVac G G6, PowerVac G G7, PowerVac P10, PowerVac P14, PowerVac P3, PowerVac P5, PowerVac P6, PowerVac P7, STS-15, STS-3, STS-5, STS-6
Part Description Updated: 4/11/2016","Ports: 1-1/2"" FPT
Material: Black plastic body with clear plastic bowl
Includes: Bowl, Bowl Gasket (RPI Part #VPG081) and Screen (20 Mesh) (RPI Part #VPS140)
Also available: Screen (50 Mesh) (RPI Part #VPS139), Solids Collector Replacement Kit (RPI Part #VPK137) and Solids Collector Replacement Kit (Case of 8) (RPI Part #VPK138)","http://www.rpiparts.com/pimages/VPC136.GIF",""
"VPG044","http://www.rpiparts.com/PartPage.asp?equip=35&oem=86&model=3881&rpinum=VPG044","55616; 62947800","VACUUM GAUGE (LIQUID FILLED)","DENTAL VACUUM UNITS
MATRX/MIDMARK
DryMax 4000/8000","RPI Part #VPG044
OEM Part #55616; 62947800
VACUUM GAUGE (LIQUID FILLED)
Size: 1-1/2"" dia.
Dual Scale: 0 to 30 In. Hg (0 to 1 Bar)
Material: Stainless steel case and bezel
Port: 1/8"" MPT center back mount
Also available: Vacuum Gauge (RPI Part #GOG046)
Fits: Manifold Assembly
Model(s) This Part Fits: CV10, CV10R, CV3, CV3R, CV5, CV5R, CV6, CV6R, DryMax 4000/8000, Maximizer 1000, Maximizer 1000-2P, Maximizer 2000, Maximizer 2000-2P, Minimizer 1000, Minimizer 1000-2P, Minimizer 2000, Minimizer 2000-2P, PowerMax™ PM1, PowerMax™ PM3, PowerMax™ PM4, VacStar 2, VacStar 20, VacStar 4, VacStar 40, VacStar 50, VacStar 50H, VacStar 80, VacStar 80H
Catalog Page(s): 4-1702
Part Description Updated: 10/23/2015","Size: 1-1/2"" dia.
Dual Scale: 0 to 30 In. Hg (0 to 1 Bar)
Material: Stainless steel case and bezel
Port: 1/8"" MPT center back mount
Also available: Vacuum Gauge (RPI Part #GOG046)","http://www.rpiparts.com/pimages/VPG044.GIF",""
"VPG081","http://www.rpiparts.com/PartPage.asp?equip=35&oem=86&model=3881&rpinum=VPG081","77005158; MRP70936","BOWL GASKET","DENTAL VACUUM UNITS
MATRX/MIDMARK
DryMax 4000/8000","RPI Part #VPG081
OEM Part #77005158; MRP70936
BOWL GASKET
3 per Package
Material: Buna N (Nitrile)
Size: 3.13"" OD x .13"" Square
Included in: Solids Collector (1"") (RPI Part #VPC070), Solids Collector (1-1/4"") (RPI Part #VPC071) and Solids Collector Replacement Kit (RPI Part #VPK074)
Fits: Solids Collector Assembly (1"" & 1-1/4"")
Model(s) This Part Fits: ADV4S, ADV8T, AVB10TNR, AVB15TNR, AVB20TNR, AVG10TNR, AVG15TNR, AVG20RR, AVG20SR, AVG20TNR, AVG30RR, AVG30SR, AVG30TNR, AVU10TNR, AVU15TNR, AVU20RR, AVU20SR, AVU20TNR, AVU30RR, AVU30SR, AVU30TNR, CV10, CV10R, CV6, CV6R, DryMax 4000/8000, Maximizer 1000-2P, Maximizer 2000-2P, MC-201, MC-201 FS, MC-201W, MC-202, MC-202 FS, MC-202W, Minimizer 1000-2P, Minimizer 2000-2P, Mojave V15, Mojave V3, Mojave V5, Mojave V7, PowerVac G G10, PowerVac G G14, PowerVac G G3, PowerVac G G5, PowerVac G G6, PowerVac G G7, PowerVac P10, PowerVac P14, PowerVac P5, PowerVac P6, PowerVac P7, STS-15, STS-3, STS-5, STS-6, VacStar 5, VacStar 50, VacStar 50H, VacStar 8, VacStar 80, VacStar 80H
Catalog Page(s): 4-1700
Part Description Updated: 10/23/2015","3 per Package
Material: Buna N (Nitrile)
Size: 3.13"" OD x .13"" Square
Included in: Solids Collector (1"") (RPI Part #VPC070), Solids Collector (1-1/4"") (RPI Part #VPC071) and Solids Collector Replacement Kit (RPI Part #VPK074)","http://www.rpiparts.com/pimages/VPG081.GIF",""
"VPG108","http://www.rpiparts.com/PartPage.asp?equip=35&oem=86&model=3881&rpinum=VPG108","65950000","FLANGE GASKET","DENTAL VACUUM UNITS
MATRX/MIDMARK
DryMax 4000/8000","RPI Part #VPG108
OEM Part #65950000
FLANGE GASKET
Size: 6.05"" OD x .13"" thk.
Material: Nitrile (Buna N); 70 Duro
Fits: Separator Tank
Model(s) This Part Fits: DryMax 4000/8000
Part Description Updated: 9/5/2016","Size: 6.05"" OD x .13"" thk.
Material: Nitrile (Buna N); 70 Duro","http://www.rpiparts.com/pimages/VPG108.GIF",""
"VPK123","http://www.rpiparts.com/PartPage.asp?equip=35&oem=86&model=3881&rpinum=VPK123","54601","TANK WASHOUT KIT","DENTAL VACUUM UNITS
MATRX/MIDMARK
DryMax 4000/8000","RPI Part #VPK123
OEM Part #54601
TANK WASHOUT KIT
Includes: Adaptor (3/8"" Push-In x 1/2"" MPT) and (10 ft.) Tubing (1/4"" ID x 3/8"" OD Clear Polyethylene) (RPI Part #RPT959)
Fits: CAS Tank (Cylonic Action Separator)
Model(s) This Part Fits: CAS 20-Gallon, CAS 4-Gallon, CAS 8-Gallon (New Style), CAS 8-Gallon (Old Style), DryMax 4000/8000, PowerVac G G10, PowerVac G G14, PowerVac G G3, PowerVac G G5, PowerVac G G6, PowerVac G G7, PowerVac P10, PowerVac P14, PowerVac P3, PowerVac P5, PowerVac P6, PowerVac P7
Part Description Updated: 4/11/2016","Includes: Adaptor (3/8"" Push-In x 1/2"" MPT) and (10 ft.) Tubing (1/4"" ID x 3/8"" OD Clear Polyethylene) (RPI Part #RPT959)","http://www.rpiparts.com/pimages/VPK123.GIF",""
"VPK127","http://www.rpiparts.com/PartPage.asp?equip=35&oem=86&model=3881&rpinum=VPK127","77001507","PUMP REPAIR KIT","DENTAL VACUUM UNITS
MATRX/MIDMARK
DryMax 4000/8000","RPI Part #VPK127
OEM Part #77001507
PUMP REPAIR KIT
Includes: (1) Impeller and (1) gasket
Also available: Brush Kit (RPI Part #VPK128)
Fits: Liquid Evacuation Pump
Model(s) This Part Fits: DryMax 4000/8000, PowerVac P10, PowerVac P14, PowerVac P3, PowerVac P5, PowerVac P6, PowerVac P7
Part Description Updated: 4/11/2016","Includes: (1) Impeller and (1) gasket
Also available: Brush Kit (RPI Part #VPK128)","http://www.rpiparts.com/pimages/VPK127.GIF",""
"VPK128","http://www.rpiparts.com/PartPage.asp?equip=35&oem=86&model=3881&rpinum=VPK128","77001506","BRUSH KIT","DENTAL VACUUM UNITS
MATRX/MIDMARK
DryMax 4000/8000","RPI Part #VPK128
OEM Part #77001506
BRUSH KIT
2 per package
Size: .25"" x .25"" x .69"" lg.
Radius: .38""; Spring Length: 1-1/16""
Includes, (2) Brush/spring assembly, (2) anti-rotation cap and (2) conical spring
OEM recommends replacement every 300 hours of use
Also available: Pump Repair Kit (RPI Part #VPK127)
Fits: Liquid Evacuation Pump
Model(s) This Part Fits: DryMax 4000/8000, PowerVac P10, PowerVac P14, PowerVac P3, PowerVac P5, PowerVac P6, PowerVac P7
Part Description Updated: 4/11/2016","2 per package
Size: .25"" x .25"" x .69"" lg.
Radius: .38""; Spring Length: 1-1/16""
Includes, (2) Brush/spring assembly, (2) anti-rotation cap and (2) conical spring
OEM recommends replacement every 300 hours of use
Also available: Pump Repair Kit (RPI Part #VPK127)","http://www.rpiparts.com/pimages/VPK128.GIF",""
"VPK137","http://www.rpiparts.com/PartPage.asp?equip=35&oem=86&model=3881&rpinum=VPK137","77005169; AVA60031; H5217","SOLIDS COLLECTOR REPLACEMENT KIT","DENTAL VACUUM UNITS
MATRX/MIDMARK
DryMax 4000/8000","RPI Part #VPK137
OEM Part #77005169; AVA60031; H5217
SOLIDS COLLECTOR REPLACEMENT KIT
Material: Clear plastic bowl
Includes: Bowl, Bowl Gasket (RPI Part #VPG081), Screen (20 Mesh) (RPI Part #VPS140), disposal container and lid
Also available: Screen (50 Mesh) (RPI Part #VPS139), Solids Collector (1-1/2"") (RPI Part #VPC136) and Solids Collector Replacement Kit (Case of 8) (RPI Part #VPK138).
Fits: Solids Collector (1-1/2"")
Model(s) This Part Fits: ADV4S, ADV8T, DryMax 4000/8000, Mojave V15, Mojave V3, Mojave V5, Mojave V7, PowerVac G G10, PowerVac G G14, PowerVac G G3, PowerVac G G5, PowerVac G G6, PowerVac G G7, PowerVac P10, PowerVac P14, PowerVac P3, PowerVac P5, PowerVac P6, PowerVac P7, STS-15, STS-3, STS-5, STS-6
Part Description Updated: 4/11/2016","Material: Clear plastic bowl
Includes: Bowl, Bowl Gasket (RPI Part #VPG081), Screen (20 Mesh) (RPI Part #VPS140), disposal container and lid
Also available: Screen (50 Mesh) (RPI Part #VPS139), Solids Collector (1-1/2"") (RPI Part #VPC136) and Solids Collector Replacement Kit (Case of 8) (RPI Part #VPK138).","http://www.rpiparts.com/pimages/VPK137.GIF",""
