"selection3_name","selection3_url","selection3_selection4","selection3_selection5","selection3_selection6","selection3_selection7","selection3_selection8","selection3_selection9","selection3_selection10"
"RCA061","http://www.rpiparts.com/PartPage.asp?equip=7&oem=54&model=270&rpinum=RCA061","144648","METERING SCREW ASSEMBLY","DENTAL CHAIRS
RITTER
FL Type 75, 75-C & 7F","RPI Part #RCA061
OEM Part #144648
METERING SCREW ASSEMBLY
Brass
Includes metering screw with O-rings (RPI Part #RPO306 & RPO307)
Fits: Solenoid Valve
Model(s) This Part Fits: FL Type 75, 75-C & 7F, FL Type 75C-75F, PA Type 75C-75F, PB Type 75C-75F
Catalog Page(s): 4-302, 11-400
Part Description Updated: 8/22/2006","Brass
Includes metering screw with O-rings (RPI Part #RPO306 & RPO307)","http://www.rpiparts.com/pimages/RCA061.GIF",""
"RCC062","http://www.rpiparts.com/PartPage.asp?equip=7&oem=54&model=270&rpinum=RCC062","171421","MOTOR STARTING CAPACITOR","DENTAL CHAIRS
RITTER
FL Type 75, 75-C & 7F","RPI Part #RCC062
OEM Part #171421
MOTOR STARTING CAPACITOR
110-125VAC, 60 Hz., 108-130 MFD
Fits: Motor
Model(s) This Part Fits: FL Type 75, 75-C & 7F, FL Type 75C-75F, PA Type 75C-75F, PB Type 75C-75F
Catalog Page(s): 4-302, 11-400
Part Description Updated: 5/15/2008","110-125VAC, 60 Hz., 108-130 MFD","http://www.rpiparts.com/pimages/RCC062.GIF",""
"RCC601","http://www.rpiparts.com/PartPage.asp?equip=7&oem=54&model=270&rpinum=RCC601","14183","SOLENOID COIL","DENTAL CHAIRS
RITTER
FL Type 75, 75-C & 7F","RPI Part #RCC601
OEM Part #14183
SOLENOID COIL
49.78 ohm min; 55.02 ohm max; Coil Rating: 120VAC
Coil: 1.265"" OD x 1.335"" long with .500"" dia. through hole
Wire: 11"" lg.
Fits: Solenoid Valve
Model(s) This Part Fits: FL Type 75, 75-C & 7F, FL Type 75C-75F
Catalog Page(s): 4-302, 11-400
Part Description Updated: 5/15/2008","49.78 ohm min; 55.02 ohm max; Coil Rating: 120VAC
Coil: 1.265"" OD x 1.335"" long with .500"" dia. through hole
Wire: 11"" lg.","http://www.rpiparts.com/pimages/RCC601.GIF",""
"RCC602","http://www.rpiparts.com/PartPage.asp?equip=7&oem=54&model=270&rpinum=RCC602","143830","FOOT SWITCH CABLE","DENTAL CHAIRS
RITTER
FL Type 75, 75-C & 7F","RPI Part #RCC602
OEM Part #143830
FOOT SWITCH CABLE
Sold by the foot (Reminder: OEM's cable was 5 ft. in length)
7 conductor insulated cable; .53"" OD; Jacket 16/7
For connecting foot control to table
Model(s) This Part Fits: FL Type 75, 75-C & 7F, FL Type 75C-75F, PA Type 75C-75F, PB Type 75C-75F
Catalog Page(s): 4-302, 11-400
Part Description Updated: 8/22/2006","Sold by the foot (Reminder: OEM's cable was 5 ft. in length)
7 conductor insulated cable; .53"" OD; Jacket 16/7
For connecting foot control to table","http://www.rpiparts.com/pimages/RCC602.GIF",""
"RCI067","http://www.rpiparts.com/PartPage.asp?equip=7&oem=54&model=270&rpinum=RCI067","108926","BRASS INSERT","DENTAL CHAIRS
RITTER
FL Type 75, 75-C & 7F","RPI Part #RCI067
OEM Part #108926
BRASS INSERT
4 per package
Fits: Hydraulic Tubing
Model(s) This Part Fits: FL Type 75, 75-C & 7F, FL Type 75C-75F, PA Type 75C-75F, PB Type 75C-75F
Catalog Page(s): 4-303, 11-401
Part Description Updated: 8/22/2006","4 per package","http://www.rpiparts.com/pimages/RCI067.GIF",""
"RCK066","http://www.rpiparts.com/PartPage.asp?equip=7&oem=54&model=270&rpinum=RCK066","144741","SOLENOID BODY KIT","DENTAL CHAIRS
RITTER
FL Type 75, 75-C & 7F","RPI Part #RCK066
OEM Part #144741
SOLENOID BODY KIT
Includes plunger, spring, spanner nut, and O-ring
Fits: Solenoid Valve
Model(s) This Part Fits: FL Type 75, 75-C & 7F, FL Type 75C-75F, PA Type 75C-75F, PB Type 75C-75F
Catalog Page(s): 4-302, 11-400
Part Description Updated: 11/20/2006","Includes plunger, spring, spanner nut, and O-ring","http://www.rpiparts.com/pimages/RCK066.GIF",""
"RCM064","http://www.rpiparts.com/PartPage.asp?equip=7&oem=54&model=270&rpinum=RCM064","155961","VIBRATION MOUNT","DENTAL CHAIRS
RITTER
FL Type 75, 75-C & 7F","RPI Part #RCM064
OEM Part #155961
VIBRATION MOUNT
1/4-20 UNC x 23/64"" lg.
Fits: Motor
Model(s) This Part Fits: FL Type 75, 75-C & 7F, FL Type 75C-75F, PA Type 75C-75F, PB Type 75C-75F
Catalog Page(s): 4-302, 11-400
Part Description Updated: 8/22/2006","1/4-20 UNC x 23/64"" lg.","http://www.rpiparts.com/pimages/RCM064.GIF",""
"RCM065","http://www.rpiparts.com/PartPage.asp?equip=7&oem=54&model=270&rpinum=RCM065","141573","MOTOR MOUNT","DENTAL CHAIRS
RITTER
FL Type 75, 75-C & 7F","RPI Part #RCM065
OEM Part #141573
MOTOR MOUNT
2 per package
1/4-20 UNC x 23/64"" lg. x 2
Fits: Motor
Model(s) This Part Fits: FL Type 75, 75-C & 7F, FL Type 75C-75F, PA Type 75C-75F, PB Type 75C-75F
Catalog Page(s): 4-302, 11-400
Part Description Updated: 8/22/2006","2 per package
1/4-20 UNC x 23/64"" lg. x 2","http://www.rpiparts.com/pimages/RCM065.GIF",""
"RCN059","http://www.rpiparts.com/PartPage.asp?equip=7&oem=54&model=270&rpinum=RCN059","C-6760","COMPRESSION NUT WITH FERRULE","DENTAL CHAIRS
RITTER
FL Type 75, 75-C & 7F","RPI Part #RCN059
OEM Part #C-6760
COMPRESSION NUT WITH FERRULE
4 per package
7/16-24
Fits: 1/4"" Hydraulic Tubing
Model(s) This Part Fits: FL Type 75, 75-C & 7F, FL Type 75C-75F, PA Type 75C-75F, PB Type 75C-75F
Catalog Page(s): 4-303, 11-401
Part Description Updated: 11/20/2006","4 per package
7/16-24","http://www.rpiparts.com/pimages/RCN059.GIF",""
"RCP063","http://www.rpiparts.com/PartPage.asp?equip=7&oem=54&model=270&rpinum=RCP063","C-3872","ROLL PIN","DENTAL CHAIRS
RITTER
FL Type 75, 75-C & 7F","RPI Part #RCP063
OEM Part #C-3872
ROLL PIN
12 per package
1/8"" dia. x 5/8"" lg.
Fits: Tilt Cylinder
Model(s) This Part Fits: FL Type 75, 75-C & 7F, FL Type 75C-75F, PA Type 75C-75F, PB Type 75C-75F
Catalog Page(s): 4-302, 11-400
Part Description Updated: 8/22/2006","12 per package
1/8"" dia. x 5/8"" lg.","http://www.rpiparts.com/pimages/RCP063.GIF",""
"RCP072","http://www.rpiparts.com/PartPage.asp?equip=7&oem=54&model=270&rpinum=RCP072","425-A-13","NO LONGER AVAILABLE","DENTAL CHAIRS
RITTER
FL Type 75, 75-C & 7F","RPI Part #RCP072
OEM Part #425-A-13
STANDPIPE PACKING
Fits: Lift Tube
Model(s) This Part Fits: FL Type 75, 75-C & 7F, FL Type 75C-75F, PA Type 75C-75F, PB Type 75C-75F
Catalog Page(s): 4-302, 11-400
Part Description Updated: 3/25/2016","","http://www.rpiparts.com/pimages/RCP072.GIF",""
