"selection3_name","selection3_url","selection3_selection4","selection3_selection5","selection3_selection6","selection3_selection7","selection3_selection8","selection3_selection9","selection3_selection10"
"BEA001","http://www.rpiparts.com/PartPage.asp?equip=12&oem=30&model=588&rpinum=BEA001","8000-2023","SPRING CLIP HOLDER ASSEMBLY","DENTAL EXAM LIGHTS
HEALTHCO
X-Calibur 046/HLU & HLW","RPI Part #BEA001
OEM Part #8000-2023
SPRING CLIP HOLDER ASSEMBLY
Also included in: Light Socket Kit (RPI Part #BEK027)
Also available: Lamp (RPI Part #LMP601)
Fits: Light Socket
Model(s) This Part Fits: X-Calibur 046/BLU & BLW, X-Calibur 046/HLU & HLW, X-Calibur 047/BLC, X-Calibur 047/HLC, X-Calibur 048/BLT, X-Calibur 048/HLT, X-Calibur 049/BLPW, X-Calibur 049/HLPW
Catalog Page(s): 4-1203
Part Description Updated: 5/8/2013","Also included in: Light Socket Kit (RPI Part #BEK027)
Also available: Lamp (RPI Part #LMP601)","http://www.rpiparts.com/pimages/BEA001.GIF",""
"BEB018","http://www.rpiparts.com/PartPage.asp?equip=12&oem=30&model=588&rpinum=BEB018","HLU 2107","JOINT BOLT","DENTAL EXAM LIGHTS
HEALTHCO
X-Calibur 046/HLU & HLW","RPI Part #BEB018
OEM Part #HLU 2107
JOINT BOLT
Includes: Joint Bolt and Retaining Ring
Fits: Yoke assembly
Model(s) This Part Fits: X-Calibur 046/BLU & BLW, X-Calibur 046/HLU & HLW, X-Calibur 047/BLC, X-Calibur 047/HLC, X-Calibur 048/BLT, X-Calibur 048/HLT, X-Calibur 049/BLPW, X-Calibur 049/HLPW
Catalog Page(s): 4-1204
Part Description Updated: 8/5/2014","Includes: Joint Bolt and Retaining Ring","http://www.rpiparts.com/pimages/BEB018.GIF",""
"BEH013","http://www.rpiparts.com/PartPage.asp?equip=12&oem=30&model=588&rpinum=BEH013","8000-2027","SOCKET HOLDER","DENTAL EXAM LIGHTS
HEALTHCO
X-Calibur 046/HLU & HLW","RPI Part #BEH013
OEM Part #8000-2027
SOCKET HOLDER
Includes: Set Screw (RPI Part #BEW016)
Material: Brass
Also included in: Light Socket Kit (RPI Part #BEK027)
Also available: Lamp (RPI Part #LMP601)
Fits: Light Head
Model(s) This Part Fits: X-Calibur 046/BLU & BLW, X-Calibur 046/HLU & HLW, X-Calibur 047/BLC, X-Calibur 047/HLC, X-Calibur 048/BLT, X-Calibur 048/HLT, X-Calibur 049/BLPW, X-Calibur 049/HLPW
Catalog Page(s): 4-1203
Part Description Updated: 5/8/2013","Includes: Set Screw (RPI Part #BEW016)
Material: Brass
Also included in: Light Socket Kit (RPI Part #BEK027)
Also available: Lamp (RPI Part #LMP601)","http://www.rpiparts.com/pimages/BEH013.GIF",""
"BEH015","http://www.rpiparts.com/PartPage.asp?equip=12&oem=30&model=588&rpinum=BEH015","HLU 2010","SOCKET HOUSING","DENTAL EXAM LIGHTS
HEALTHCO
X-Calibur 046/HLU & HLW","RPI Part #BEH015
OEM Part #HLU 2010
SOCKET HOUSING
Includes: Socket Housing and (4 pieces) of Metric Screw (M3 x 8) (RPI Part #RPH129)
Also included in: Light Socket Kit (RPI Part #BEK027)
Also available: Lamp (RPI Part #LMP601)
Fits: Light Socket Assembly
Model(s) This Part Fits: X-Calibur 046/HLU & HLW, X-Calibur 047/HLC, X-Calibur 048/HLT, X-Calibur 049/BLPW
Catalog Page(s): 4-1203
Part Description Updated: 5/8/2013","Includes: Socket Housing and (4 pieces) of Metric Screw (M3 x 8) (RPI Part #RPH129)
Also included in: Light Socket Kit (RPI Part #BEK027)
Also available: Lamp (RPI Part #LMP601)","http://www.rpiparts.com/pimages/BEH015.GIF",""
"BEH030","http://www.rpiparts.com/PartPage.asp?equip=12&oem=30&model=588&rpinum=BEH030","HLU 1130","WIRE HARNESS","DENTAL EXAM LIGHTS
HEALTHCO
X-Calibur 046/HLU & HLW","RPI Part #BEH030
OEM Part #HLU 1130
WIRE HARNESS
Includes connectors
6 ft. lg.
Fits: Balance arm assembly
Model(s) This Part Fits: X-Calibur 046/BLU & BLW, X-Calibur 046/HLU & HLW, X-Calibur 047/BLC, X-Calibur 047/HLC
Catalog Page(s): 4-1202
Part Description Updated: 12/4/2013","Includes connectors
6 ft. lg.","http://www.rpiparts.com/pimages/BEH030.GIF",""
"BEK020","http://www.rpiparts.com/PartPage.asp?equip=12&oem=30&model=588&rpinum=BEK020","(OEM Part # Not Available)","JOINT BOLT KIT","DENTAL EXAM LIGHTS
HEALTHCO
X-Calibur 046/HLU & HLW","RPI Part #BEK020
OEM Part # (OEM Part # Not Available)
JOINT BOLT KIT
When replacing both of the Joint Bolt Assemblies, two of these Kits are needed.
All parts also sold separately!
See Notes: below for parts included in this Kit
Fits: Yoke assembly
Model(s) This Part Fits: X-Calibur 046/BLU & BLW, X-Calibur 046/HLU & HLW, X-Calibur 047/BLC, X-Calibur 047/HLC, X-Calibur 048/BLT, X-Calibur 048/HLT, X-Calibur 049/BLPW, X-Calibur 049/HLPW
Catalog Page(s): 4-1204
Part Description Updated: 8/5/2014","When replacing both of the Joint Bolt Assemblies, two of these Kits are needed.
All parts also sold separately!
See Notes: below for parts included in this Kit","http://www.rpiparts.com/pimages/BEK020.GIF","Notes:
Includes:
Joint Bolt (RPI Part #BEB018)
Flat Washer (RPI Part #RPH446)
Wave Washer (RPI Part #RPH445)
Nut/Joint Bolt (RPI Part #BEN019)
Rubber Sheel (RPI Part #BES002)
Also Available:
Wave Washer and Flat Washer also sold as a Kit (RPI Part #BEK028) with (2) of each washer per Kit"
"BEK027","http://www.rpiparts.com/PartPage.asp?equip=12&oem=30&model=588&rpinum=BEK027","(OEM Part # Not Available)","LIGHT SOCKET KIT","DENTAL EXAM LIGHTS
HEALTHCO
X-Calibur 046/HLU & HLW","RPI Part #BEK027
OEM Part # (OEM Part # Not Available)
LIGHT SOCKET KIT
See Notes below for parts included in this Kit
All parts also sold separately!
Fits: Light head Assembly
Model(s) This Part Fits: X-Calibur 046/BLU & BLW,X-Calibur 046/HLU & HLW,X-Calibur 047/BLC,X-Calibur 047/HLC,X-Calibur 048/BLT,X-Calibur 048/HLT,X-Calibur 049/BLPW,X-Calibur 049/HLPW
Catalog Page(s): 4-1203
Part Description Updated: 6/25/2014","See Notes below for parts included in this Kit
All parts also sold separately!","http://www.rpiparts.com/pimages/BEK027.GIF","Notes:
Includes:
Spring Clip Holder Assembly (RPI Part #BEA001)
Socket Holder Assembly (RPI Part #BEH013)
Grounding Wire Assembly (RPI Part #BEW010)
Light Socket (RPI Part #BES012)
Socket Housing (RPI Part #BEH015)
(2) Rubber Washer (RPI Part #BEW016)
Nut (Socket Holder) (RPI Part #BEN014)
(4) Metric Screw (M3 X 8) (RPI Part #RPH129)"
"BEK028","http://www.rpiparts.com/PartPage.asp?equip=12&oem=30&model=588&rpinum=BEK028","(OEM Part # Not Available)","WASHER KIT","DENTAL EXAM LIGHTS
HEALTHCO
X-Calibur 046/HLU & HLW","RPI Part #BEK028
OEM Part # (OEM Part # Not Available)
WASHER KIT
All parts also sold separately!
See Notes: below for parts included in this Kit
Fits: Joint bolt assembly
Model(s) This Part Fits: X-Calibur 046/BLU & BLW, X-Calibur 046/HLU & HLW, X-Calibur 047/BLC, X-Calibur 047/HLC, X-Calibur 048/BLT, X-Calibur 048/HLT, X-Calibur 049/BLPW, X-Calibur 049/HLPW
Catalog Page(s): 4-1204
Part Description Updated: 6/25/2014","All parts also sold separately!
See Notes: below for parts included in this Kit","http://www.rpiparts.com/pimages/BEK028.GIF","Notes:
Includes:
(2) Flat Washers (RPI Part #RPH446)
(2) Wave Washers (RPI Part #RPH445)"
"BEN014","http://www.rpiparts.com/PartPage.asp?equip=12&oem=30&model=588&rpinum=BEN014","HLU 2012","NUT (SOCKET HOLDER)","DENTAL EXAM LIGHTS
HEALTHCO
X-Calibur 046/HLU & HLW","RPI Part #BEN014
OEM Part #HLU 2012
NUT (SOCKET HOLDER)
Anodized black
Also included in: Light Socket Kit (RPI Part #BEK027)
Fits: Light Socket Holder
Model(s) This Part Fits: X-Calibur 046/BLU & BLW, X-Calibur 046/HLU & HLW, X-Calibur 047/BLC, X-Calibur 047/HLC, X-Calibur 048/BLT, X-Calibur 048/HLT, X-Calibur 049/BLPW, X-Calibur 049/HLPW
Catalog Page(s): 4-1203
Part Description Updated: 5/8/2013","Anodized black
Also included in: Light Socket Kit (RPI Part #BEK027)","http://www.rpiparts.com/pimages/BEN014.GIF",""
"BEN019","http://www.rpiparts.com/PartPage.asp?equip=12&oem=30&model=588&rpinum=BEN019","HLU 2021","NUT (JOINT BOLT)","DENTAL EXAM LIGHTS
HEALTHCO
X-Calibur 046/HLU & HLW","RPI Part #BEN019
OEM Part #HLU 2021
NUT (JOINT BOLT)
Fits: Joint bolt assembly
Model(s) This Part Fits: X-Calibur 046/HLU & HLW, X-Calibur 047/HLC, X-Calibur 048/HLT, X-Calibur 049/BLPW
Catalog Page(s): 4-1204
Part Description Updated: 7/12/2006","","http://www.rpiparts.com/pimages/BEN019.GIF",""
