"selection3_name","selection3_url","selection3_selection4","selection3_selection5","selection3_selection6","selection3_selection7","selection3_selection8","selection3_selection9","selection3_selection10"
"LIB001","http://www.rpiparts.com/PartPage.asp?equip=10&oem=39&model=201&rpinum=LIB001","268-117 / 805-0016","DRIVE BELT (SHORT DRYER)","DENTAL FILM & X-RAY PROCESSORS
LITTON
P10","RPI Part #LIB001
OEM Part #268-117 / 805-0016
DRIVE BELT (SHORT DRYER)
100 x L025 Timing Belt
Effective belt length: 10""
Belt width 1/4""
Grooves per inch: 5
Pitch (measured from center line of tooth to center line of next tooth: 0.200
Fits: Dryer Rack
Model(s) This Part Fits: P10, P4, P6
Catalog Page(s): 4-800
Part Description Updated: 12/16/2009","100 x L025 Timing Belt
Effective belt length: 10""
Belt width 1/4""
Grooves per inch: 5
Pitch (measured from center line of tooth to center line of next tooth: 0.200","http://www.rpiparts.com/pimages/LIB001.GIF",""
"LIB003","http://www.rpiparts.com/PartPage.asp?equip=10&oem=39&model=201&rpinum=LIB003","268-118 / 805-0019","DRIVE BELT","DENTAL FILM & X-RAY PROCESSORS
LITTON
P10","RPI Part #LIB003
OEM Part #268-118 / 805-0019
DRIVE BELT
160 x L025 Timing Belt
Effective belt length: 16""
Belt width: 1/4""
Grooves per inch: 5
Pitch (measured from center line of tooth to center line of next tooth: 0.200
Fits: Dryer Rack
Model(s) This Part Fits: P10, P4, P6
Catalog Page(s): 4-800
Part Description Updated: 12/16/2009","160 x L025 Timing Belt
Effective belt length: 16""
Belt width: 1/4""
Grooves per inch: 5
Pitch (measured from center line of tooth to center line of next tooth: 0.200","http://www.rpiparts.com/pimages/LIB003.GIF",""
"LIB004","http://www.rpiparts.com/PartPage.asp?equip=10&oem=39&model=201&rpinum=LIB004","268-119 / 805-0007","DRIVE BELT","DENTAL FILM & X-RAY PROCESSORS
LITTON
P10","RPI Part #LIB004
OEM Part #268-119 / 805-0007
DRIVE BELT
170 x L025 Timing Belt
Effective belt length: 17""
Belt width: 1/4""
Grooves per inch: 5
Pitch (measured from center line of tooth to center line of next tooth: 0.200
Fits: Developer, Fixer, and Washer Racks
Model(s) This Part Fits: P10, P4, P6
Catalog Page(s): 4-800
Part Description Updated: 12/16/2009","170 x L025 Timing Belt
Effective belt length: 17""
Belt width: 1/4""
Grooves per inch: 5
Pitch (measured from center line of tooth to center line of next tooth: 0.200","http://www.rpiparts.com/pimages/LIB004.GIF",""
"LIB001","http://www.rpiparts.com/PartPage.asp?equip=10&oem=39&model=200&rpinum=LIB001","268-117 / 805-0016","DRIVE BELT (SHORT DRYER)","DENTAL FILM & X-RAY PROCESSORS
LITTON
P4","RPI Part #LIB001
OEM Part #268-117 / 805-0016
DRIVE BELT (SHORT DRYER)
100 x L025 Timing Belt
Effective belt length: 10""
Belt width 1/4""
Grooves per inch: 5
Pitch (measured from center line of tooth to center line of next tooth: 0.200
Fits: Dryer Rack
Model(s) This Part Fits: P10, P4, P6
Catalog Page(s): 4-800
Part Description Updated: 12/16/2009","100 x L025 Timing Belt
Effective belt length: 10""
Belt width 1/4""
Grooves per inch: 5
Pitch (measured from center line of tooth to center line of next tooth: 0.200","http://www.rpiparts.com/pimages/LIB001.GIF",""
"LIB002","http://www.rpiparts.com/PartPage.asp?equip=10&oem=39&model=200&rpinum=LIB002","268-116 / 805-0017","MAIN DRIVE BELT","DENTAL FILM & X-RAY PROCESSORS
LITTON
P4","RPI Part #LIB002
OEM Part #268-116 / 805-0017
MAIN DRIVE BELT
100 x L037 Timing Belt
Effective belt length: 10""
Belt width: 3/8""
Grooves per inch: 5
Pitch (measured from center line of tooth to center line of next tooth: 0.200
Fits: Main Drive System
Model(s) This Part Fits: P4, P6
Catalog Page(s): 4-800
Part Description Updated: 12/16/2009","100 x L037 Timing Belt
Effective belt length: 10""
Belt width: 3/8""
Grooves per inch: 5
Pitch (measured from center line of tooth to center line of next tooth: 0.200","http://www.rpiparts.com/pimages/LIB002.GIF",""
"LIB003","http://www.rpiparts.com/PartPage.asp?equip=10&oem=39&model=200&rpinum=LIB003","268-118 / 805-0019","DRIVE BELT","DENTAL FILM & X-RAY PROCESSORS
LITTON
P4","RPI Part #LIB003
OEM Part #268-118 / 805-0019
DRIVE BELT
160 x L025 Timing Belt
Effective belt length: 16""
Belt width: 1/4""
Grooves per inch: 5
Pitch (measured from center line of tooth to center line of next tooth: 0.200
Fits: Dryer Rack
Model(s) This Part Fits: P10, P4, P6
Catalog Page(s): 4-800
Part Description Updated: 12/16/2009","160 x L025 Timing Belt
Effective belt length: 16""
Belt width: 1/4""
Grooves per inch: 5
Pitch (measured from center line of tooth to center line of next tooth: 0.200","http://www.rpiparts.com/pimages/LIB003.GIF",""
"LIB004","http://www.rpiparts.com/PartPage.asp?equip=10&oem=39&model=200&rpinum=LIB004","268-119 / 805-0007","DRIVE BELT","DENTAL FILM & X-RAY PROCESSORS
LITTON
P4","RPI Part #LIB004
OEM Part #268-119 / 805-0007
DRIVE BELT
170 x L025 Timing Belt
Effective belt length: 17""
Belt width: 1/4""
Grooves per inch: 5
Pitch (measured from center line of tooth to center line of next tooth: 0.200
Fits: Developer, Fixer, and Washer Racks
Model(s) This Part Fits: P10, P4, P6
Catalog Page(s): 4-800
Part Description Updated: 12/16/2009","170 x L025 Timing Belt
Effective belt length: 17""
Belt width: 1/4""
Grooves per inch: 5
Pitch (measured from center line of tooth to center line of next tooth: 0.200","http://www.rpiparts.com/pimages/LIB004.GIF",""
"LIO005","http://www.rpiparts.com/PartPage.asp?equip=10&oem=39&model=200&rpinum=LIO005","268-120 / 805-0009","O-RING","DENTAL FILM & X-RAY PROCESSORS
LITTON
P4","RPI Part #LIO005
OEM Part #268-120 / 805-0009
Industry Part #AS568-155
O-RING
1 per package
3.987"" ID x 4.193"" OD x .103"" C/S
Material: Nitrile (Buna N)
Duro: 70
Model(s) This Part Fits: P4, P6
Catalog Page(s): 4-800, 6-501, 6-502
Part Description Updated: 12/16/2009","1 per package
3.987"" ID x 4.193"" OD x .103"" C/S
Material: Nitrile (Buna N)
Duro: 70","http://www.rpiparts.com/pimages/LIO005.GIF",""
"LIB001","http://www.rpiparts.com/PartPage.asp?equip=10&oem=39&model=202&rpinum=LIB001","268-117 / 805-0016","DRIVE BELT (SHORT DRYER)","DENTAL FILM & X-RAY PROCESSORS
LITTON
P6","RPI Part #LIB001
OEM Part #268-117 / 805-0016
DRIVE BELT (SHORT DRYER)
100 x L025 Timing Belt
Effective belt length: 10""
Belt width 1/4""
Grooves per inch: 5
Pitch (measured from center line of tooth to center line of next tooth: 0.200
Fits: Dryer Rack
Model(s) This Part Fits: P10, P4, P6
Catalog Page(s): 4-800
Part Description Updated: 12/16/2009","100 x L025 Timing Belt
Effective belt length: 10""
Belt width 1/4""
Grooves per inch: 5
Pitch (measured from center line of tooth to center line of next tooth: 0.200","http://www.rpiparts.com/pimages/LIB001.GIF",""
"LIB002","http://www.rpiparts.com/PartPage.asp?equip=10&oem=39&model=202&rpinum=LIB002","268-116 / 805-0017","MAIN DRIVE BELT","DENTAL FILM & X-RAY PROCESSORS
LITTON
P6","RPI Part #LIB002
OEM Part #268-116 / 805-0017
MAIN DRIVE BELT
100 x L037 Timing Belt
Effective belt length: 10""
Belt width: 3/8""
Grooves per inch: 5
Pitch (measured from center line of tooth to center line of next tooth: 0.200
Fits: Main Drive System
Model(s) This Part Fits: P4, P6
Catalog Page(s): 4-800
Part Description Updated: 12/16/2009","100 x L037 Timing Belt
Effective belt length: 10""
Belt width: 3/8""
Grooves per inch: 5
Pitch (measured from center line of tooth to center line of next tooth: 0.200","http://www.rpiparts.com/pimages/LIB002.GIF",""
