"selection3_name","selection3_url","selection3_selection4","selection3_selection5","selection3_selection6","selection3_selection7","selection3_selection8","selection3_selection9","selection3_selection10"
"BUS030","http://www.rpiparts.com/PartPage.asp?equip=29&oem=156&model=2733&rpinum=BUS030","827785","POWER SWITCH","ECG/EKG & EEG MACHINES
BURDICK
DC-185","RPI Part #BUS030
OEM Part #827785
POWER SWITCH
DPST
6A @ 125VAC; 3A @ 250VDC
Fits: Control Panel
Model(s) This Part Fits: DC-180, DC-185, EK-5, EK-5A
Catalog Page(s): 5-201
Part Description Updated: 8/21/2014","DPST
6A @ 125VAC; 3A @ 250VDC","http://www.rpiparts.com/pimages/BUS030.GIF",""
"CAF011","http://www.rpiparts.com/PartPage.asp?equip=29&oem=156&model=2733&rpinum=CAF011","421285 / 42021004 / 850404 /0200-608-000","RUBBER FOOT","ECG/EKG & EEG MACHINES
BURDICK
DC-185","RPI Part #CAF011
OEM Part #421285 / 42021004 / 850404 /0200-608-000
RUBBER FOOT
4 per package
Material: Black rubber with molded in steel washer
Size: ~.75"" O.D. x .50"" lg.; #10 clearance hole
See Notes below
Fits: Chassis/Base Plate
Model(s) This Part Fits: DC-185, DC-190, E500 TW, E600, EK-5, EK-5A, EK-6, EK-670, EK-7, EK-8, Foot Controls: F011 & F013, Hood & Motor: E026, E027, E028 & E029, MC-600, Statim 2000, Statim 5000, Statim G4 2000, Statim G4 5000, TMS-302, Triac
Catalog Page(s): 3-511, 4-902, 5-200, 10-605, 10-1509
Part Description Updated: 7/30/2014","4 per package
Material: Black rubber with molded in steel washer
Size: ~.75"" O.D. x .50"" lg.; #10 clearance hole
See Notes below","http://www.rpiparts.com/pimages/CAF011.GIF","Notes: Fits Model Triac Serial #144999 and below.
Also Included In:
Rear-Rubber Foot Assembly (RPI Part #AMF180)
Front-Rubber Foot Assembly (RPI Part#AMF166)"
"CAF011","http://www.rpiparts.com/PartPage.asp?equip=29&oem=156&model=2732&rpinum=CAF011","421285 / 42021004 / 850404 /0200-608-000","RUBBER FOOT","ECG/EKG & EEG MACHINES
BURDICK
DC-190","RPI Part #CAF011
OEM Part #421285 / 42021004 / 850404 /0200-608-000
RUBBER FOOT
4 per package
Material: Black rubber with molded in steel washer
Size: ~.75"" O.D. x .50"" lg.; #10 clearance hole
See Notes below
Fits: Chassis/Base Plate
Model(s) This Part Fits: DC-185, DC-190, E500 TW, E600, EK-5, EK-5A, EK-6, EK-670, EK-7, EK-8, Foot Controls: F011 & F013, Hood & Motor: E026, E027, E028 & E029, MC-600, Statim 2000, Statim 5000, Statim G4 2000, Statim G4 5000, TMS-302, Triac
Catalog Page(s): 3-511, 4-902, 5-200, 10-605, 10-1509
Part Description Updated: 7/30/2014","4 per package
Material: Black rubber with molded in steel washer
Size: ~.75"" O.D. x .50"" lg.; #10 clearance hole
See Notes below","http://www.rpiparts.com/pimages/CAF011.GIF","Notes: Fits Model Triac Serial #144999 and below.
Also Included In:
Rear-Rubber Foot Assembly (RPI Part #AMF180)
Front-Rubber Foot Assembly (RPI Part#AMF166)"
"BUS032","http://www.rpiparts.com/PartPage.asp?equip=29&oem=156&model=2731&rpinum=BUS032","827795","MARKER SWITCH","ECG/EKG & EEG MACHINES
BURDICK
DC-195","RPI Part #BUS032
OEM Part #827795
MARKER SWITCH
Normally Open
3A@125VAC; 4A@14VDC
Includes: Mounting hardware
Fits: Control Panel
Model(s) This Part Fits: DC-175, DC-195, EK-5A, PA-100, PA-101, PA-104, PA-107
Catalog Page(s): 5-201
Part Description Updated: 7/30/2014","Normally Open
3A@125VAC; 4A@14VDC
Includes: Mounting hardware","http://www.rpiparts.com/pimages/BUS032.GIF",""
"BUB013","http://www.rpiparts.com/PartPage.asp?equip=29&oem=156&model=2730&rpinum=BUB013","850502","TIMING BELT","ECG/EKG & EEG MACHINES
BURDICK
E100","RPI Part #BUB013
OEM Part #850502
Industry Part #130XL025
TIMING BELT
See ""Notes"" below
Fits: Drive Pulley
Model(s) This Part Fits: E100, E200, E310, E320, EK-670, EK-8
Catalog Page(s): 5-200
Part Description Updated: 7/30/2014","See ""Notes"" below","http://www.rpiparts.com/pimages/BUB013.GIF","Notes: This Timing Belt fits Model EK-670 Serial #'s 5999 and below"
"BUS025","http://www.rpiparts.com/PartPage.asp?equip=29&oem=156&model=2730&rpinum=BUS025","861099","RECORD STYLUS","ECG/EKG & EEG MACHINES
BURDICK
E100","RPI Part #BUS025
OEM Part #861099
RECORD STYLUS
Fits: Galvanometer Assembly
Model(s) This Part Fits: E100, E200, E310, E320, EK-670, EK-7, EK-8
Catalog Page(s): 5-200
Part Description Updated: 12/12/2008","","http://www.rpiparts.com/pimages/BUS025.GIF",""
"BUB013","http://www.rpiparts.com/PartPage.asp?equip=29&oem=156&model=2729&rpinum=BUB013","850502","TIMING BELT","ECG/EKG & EEG MACHINES
BURDICK
E200","RPI Part #BUB013
OEM Part #850502
Industry Part #130XL025
TIMING BELT
See ""Notes"" below
Fits: Drive Pulley
Model(s) This Part Fits: E100, E200, E310, E320, EK-670, EK-8
Catalog Page(s): 5-200
Part Description Updated: 7/30/2014","See ""Notes"" below","http://www.rpiparts.com/pimages/BUB013.GIF","Notes: This Timing Belt fits Model EK-670 Serial #'s 5999 and below"
"BUS025","http://www.rpiparts.com/PartPage.asp?equip=29&oem=156&model=2729&rpinum=BUS025","861099","RECORD STYLUS","ECG/EKG & EEG MACHINES
BURDICK
E200","RPI Part #BUS025
OEM Part #861099
RECORD STYLUS
Fits: Galvanometer Assembly
Model(s) This Part Fits: E100, E200, E310, E320, EK-670, EK-7, EK-8
Catalog Page(s): 5-200
Part Description Updated: 12/12/2008","","http://www.rpiparts.com/pimages/BUS025.GIF",""
"BUB013","http://www.rpiparts.com/PartPage.asp?equip=29&oem=156&model=2728&rpinum=BUB013","850502","TIMING BELT","ECG/EKG & EEG MACHINES
BURDICK
E310","RPI Part #BUB013
OEM Part #850502
Industry Part #130XL025
TIMING BELT
See ""Notes"" below
Fits: Drive Pulley
Model(s) This Part Fits: E100, E200, E310, E320, EK-670, EK-8
Catalog Page(s): 5-200
Part Description Updated: 7/30/2014","See ""Notes"" below","http://www.rpiparts.com/pimages/BUB013.GIF","Notes: This Timing Belt fits Model EK-670 Serial #'s 5999 and below"
"BUS025","http://www.rpiparts.com/PartPage.asp?equip=29&oem=156&model=2728&rpinum=BUS025","861099","RECORD STYLUS","ECG/EKG & EEG MACHINES
BURDICK
E310","RPI Part #BUS025
OEM Part #861099
RECORD STYLUS
Fits: Galvanometer Assembly
Model(s) This Part Fits: E100, E200, E310, E320, EK-670, EK-7, EK-8
Catalog Page(s): 5-200
Part Description Updated: 12/12/2008","","http://www.rpiparts.com/pimages/BUS025.GIF",""
