"selection3_name","selection3_url","selection3_selection4","selection3_selection5","selection3_selection6","selection3_selection7","selection3_selection8","selection3_selection9","selection3_selection10"
"ADK080","http://www.rpiparts.com/PartPage.asp?equip=25&oem=195&model=3111&rpinum=ADK080","(OEM Part # Not Available)","BARB KIT","GENERAL SHOP AIDS
KITS
RPI Shop Aids Kits","RPI Part #ADK080
OEM Part # (OEM Part # Not Available)
BARB KIT
For a complete listing of the parts included in this Kit, click this link. (Adobe PDF)
Model(s) This Part Fits: Barbs & Barb Kits
Catalog Page(s): 4-516, 6-602
Part Description Updated: 6/25/2014","For a complete listing of the parts included in this Kit, click this link. (Adobe PDF)","http://www.rpiparts.com/pimages/ADK080.GIF",""
"ADK110","http://www.rpiparts.com/PartPage.asp?equip=25&oem=195&model=3111&rpinum=ADK110","(OEM Part # Not Available)","SOCKET HEAD CAP SCREW KIT","GENERAL SHOP AIDS
KITS
RPI Shop Aids Kits","RPI Part #ADK110
OEM Part # (OEM Part # Not Available)
SOCKET HEAD CAP SCREW KIT
Hardware Material: Stainless Steel
All parts also sold separately!
Kit includes 12-Compartment Storage Case (RPI Part #RPB416)
For a complete listing of the parts included in this Kit, click this link. (Adobe PDF)
Model(s) This Part Fits: Screws & Kit
Catalog Page(s): 4-525, 6-400
Part Description Updated: 6/25/2014","Hardware Material: Stainless Steel
All parts also sold separately!
Kit includes 12-Compartment Storage Case (RPI Part #RPB416)
For a complete listing of the parts included in this Kit, click this link. (Adobe PDF)","http://www.rpiparts.com/pimages/ADK110.GIF",""
"RPA032","http://www.rpiparts.com/PartPage.asp?equip=25&oem=195&model=3111&rpinum=RPA032","042-0024-02","THREADLOCKER 242","GENERAL SHOP AIDS
KITS
RPI Shop Aids Kits","RPI Part #RPA032
OEM Part #042-0024-02
THREADLOCKER 242
5 per package
.02 fl. oz. (.5ml) per tube
Prevents rust and corrosion
Removable adhesive by Loctite®
Fits: Cap Nut and T-bolt on the Door Assembly & Belt Block, 1/4"" screw size or smaller
Model(s) This Part Fits: 650, 660, All Porcelain Ovens, Cavitron® DualSelect™ Dispensing System - G118, Giraffe® Omnibed®, LF II Series, LF III Series, M7, Mark II, Mark III, Mark IV, Screws & Kit
Catalog Page(s): 4-901, 4-1309, 6-201, 6-400, 6-402, 7-213, 10-801, 10-1004, 10-1100 10-1218, 10-1600, 10-1301, 10-1218
Part Description Updated: 8/3/2016","5 per package
.02 fl. oz. (.5ml) per tube
Prevents rust and corrosion
Removable adhesive by Loctite®","http://www.rpiparts.com/pimages/RPA032.GIF","Notes: Please see the Safety Data Sheet for this part. (Adobe PDF)"
"RPA369","http://www.rpiparts.com/PartPage.asp?equip=25&oem=195&model=3111&rpinum=RPA369","(OEM Part # Not Available)","THREADLOCKER 545","GENERAL SHOP AIDS
KITS
RPI Shop Aids Kits","RPI Part #RPA369
OEM Part # (OEM Part # Not Available)
THREADLOCKER 545
5 per package
.02 fl. oz. per unit
Temperature range of -65°F to 300°F (-54˚ to 149˚C)
Seals operating pressures up to 10,000 PSI
For use on all pneumatic and hydraulic fittings
Material: Loctite® 545; Color: Purple
For SDS, please see link below
Model(s) This Part Fits: Statim 2000, Statim 5000, Statim 900, Statim G4 2000, Statim G4 5000
Catalog Page(s): 6-201, 6-600, 6-601, 10-1205, 10-1404, 10-1501, 10-1504, 10-1506, 10-1705
Part Description Updated: 9/4/2015","5 per package
.02 fl. oz. per unit
Temperature range of -65°F to 300°F (-54˚ to 149˚C)
Seals operating pressures up to 10,000 PSI
For use on all pneumatic and hydraulic fittings
Material: Loctite® 545; Color: Purple
For SDS, please see link below","http://www.rpiparts.com/pimages/RPA369.GIF","Notes: Please see the Safety Data Sheet for this part (Adobe PDF).
Also Included In:
Field Service Smart Kit® (RPI Part #SCK028)
Air Compressor Kit (RPI Part #SCK020)
Check Valve Kit (RPI Part #SCK011)
Push-In Elbow Fitting (RPI Part #RPF363)"
"RPA459","http://www.rpiparts.com/PartPage.asp?equip=25&oem=195&model=3111&rpinum=RPA459","(OEM Part # Not Available)","PIPE SEALANT 567","GENERAL SHOP AIDS
KITS
RPI Shop Aids Kits","RPI Part #RPA459
OEM Part # (OEM Part # Not Available)
PIPE SEALANT 567
.20 fl. oz. (6ml) per unit
Temperature range: -65˚F to 400˚F (-54˚ to 204˚C)
Also included in Multi-purpose Repair Kit (RPI Part #TUK037)
Model(s) This Part Fits: This part may fit or be utilized with equipment models not listed. Please check the equipment manual to ensure an exact fit or function.
Catalog Page(s): 4-1709, 6-201, 6-600, 6-601, 10-1705
Part Description Updated: 10/31/2016",".20 fl. oz. (6ml) per unit
Temperature range: -65˚F to 400˚F (-54˚ to 204˚C)
Also included in Multi-purpose Repair Kit (RPI Part #TUK037)","http://www.rpiparts.com/pimages/RPA459.GIF","Notes: Please see the Safety Data Sheet for this part. (Adobe PDF)"
"RPB414","http://www.rpiparts.com/PartPage.asp?equip=25&oem=195&model=3111&rpinum=RPB414","(OEM Part # Not Available)","8-COMPARTMENT STORAGE CASE","GENERAL SHOP AIDS
KITS
RPI Shop Aids Kits","RPI Part #RPB414
OEM Part # (OEM Part # Not Available)
8-COMPARTMENT STORAGE CASE
3"" x 4-5/8"" x 1-1/8""
Clear plastic
Convenient carrying case for storing workbench items
Model(s) This Part Fits: This part may fit or be utilized with equipment models not listed. Please check the equipment manual to ensure an exact fit or function.
Catalog Page(s): 6-200
Part Description Updated: 6/25/2014","3"" x 4-5/8"" x 1-1/8""
Clear plastic
Convenient carrying case for storing workbench items","http://www.rpiparts.com/pimages/RPB414.GIF",""
"RPB415","http://www.rpiparts.com/PartPage.asp?equip=25&oem=195&model=3111&rpinum=RPB415","(OEM Part # Not Available)","12-COMPARTMENT STORAGE CASE","GENERAL SHOP AIDS
KITS
RPI Shop Aids Kits","RPI Part #RPB415
OEM Part # (OEM Part # Not Available)
12-COMPARTMENT STORAGE CASE
4-1/2"" x 8-1/4"" x 1-3/8""
Clear plastic
Convenient carrying case for storing workbench items
Model(s) This Part Fits: This part may fit or be utilized with equipment models not listed. Please check the equipment manual to ensure an exact fit or function.
Catalog Page(s): 6-200
Part Description Updated: 6/25/2014","4-1/2"" x 8-1/4"" x 1-3/8""
Clear plastic
Convenient carrying case for storing workbench items","http://www.rpiparts.com/pimages/RPB415.GIF",""
"RPB416","http://www.rpiparts.com/PartPage.asp?equip=25&oem=195&model=3111&rpinum=RPB416","(OEM Part # Not Available)","12-COMPARTMENT STORAGE CASE","GENERAL SHOP AIDS
KITS
RPI Shop Aids Kits","RPI Part #RPB416
OEM Part # (OEM Part # Not Available)
12-COMPARTMENT STORAGE CASE
3-3/4"" x 7"" x 1-1/4""
Clear plastic
Convenient carrying case for storing workbench items
Model(s) This Part Fits: This part may fit or be utilized with equipment models not listed. Please check the equipment manual to ensure an exact fit or function.
Catalog Page(s): 6-200
Part Description Updated: 6/25/2014","3-3/4"" x 7"" x 1-1/4""
Clear plastic
Convenient carrying case for storing workbench items","http://www.rpiparts.com/pimages/RPB416.GIF",""
"RPB417","http://www.rpiparts.com/PartPage.asp?equip=25&oem=195&model=3111&rpinum=RPB417","(OEM Part # Not Available)","18-COMPARTMENT STORAGE CASE","GENERAL SHOP AIDS
KITS
RPI Shop Aids Kits","RPI Part #RPB417
OEM Part # (OEM Part # Not Available)
18-COMPARTMENT STORAGE CASE
4"" X 8"" x 1-3/16""
Clear plastic
Convenient carrying case for storing workbench items
Model(s) This Part Fits: This part may fit or be utilized with equipment models not listed. Please check the equipment manual to ensure an exact fit or function.
Catalog Page(s): 6-200
Part Description Updated: 6/25/2014","4"" X 8"" x 1-3/16""
Clear plastic
Convenient carrying case for storing workbench items","http://www.rpiparts.com/pimages/RPB417.GIF",""
"RPB419","http://www.rpiparts.com/PartPage.asp?equip=25&oem=195&model=3111&rpinum=RPB419","(OEM Part # Not Available)","18-COMPARTMENT STORAGE CASE","GENERAL SHOP AIDS
KITS
RPI Shop Aids Kits","RPI Part #RPB419
OEM Part # (OEM Part # Not Available)
18-COMPARTMENT STORAGE CASE
6-3/16"" x 10-1/2"" x 1-9/16""
Clear plastic
Convenient carrying case for storing workbench items
Model(s) This Part Fits: This part may fit or be utilized with equipment models not listed. Please check the equipment manual to ensure an exact fit or function.
Catalog Page(s): 6-200
Part Description Updated: 6/25/2014","6-3/16"" x 10-1/2"" x 1-9/16""
Clear plastic
Convenient carrying case for storing workbench items","http://www.rpiparts.com/pimages/RPB419.GIF",""
