"selection3_name","selection3_url","selection3_selection4","selection3_selection5","selection3_selection6","selection3_selection7","selection3_selection8","selection3_selection9","selection3_selection10"
"CHB018","http://www.rpiparts.com/PartPage.asp?equip=16&oem=16&model=93&rpinum=CHB018","21023","BRACKET (BULB SUPPORT)","HYDROCOLLATORS
CHATTANOOGA
E2","RPI Part #CHB018
OEM Part #21023
BRACKET (BULB SUPPORT)
Material: Stainless steel
See Notes below
Fits: Attaches the Thermostat and Overheat Thermostat Capillary Bulbs to the Heating Element
Model(s) This Part Fits: D3, E1, E2, M2, M4, SS, SS2
Catalog Page(s): 9-200
Part Description Updated: 8/13/2013","Material: Stainless steel
See Notes below","http://www.rpiparts.com/pimages/CHB018.GIF","Notes:
Also available:
Thermostat (RPI Part #CHT003)
Overheat Thermostat (RPI Part #CHT014)
Bracket (Element Support) (RPI Part #CHB017)"
"CHH001","http://www.rpiparts.com/PartPage.asp?equip=16&oem=16&model=93&rpinum=CHH001","10630","HEATING ELEMENT ASSEMBLY","HYDROCOLLATORS
CHATTANOOGA
E2","RPI Part #CHH001
OEM Part #10630
HEATING ELEMENT ASSEMBLY
1000W, 120VAC, ~14.5Ω
Size: 6.12"" x 8.78""; 7/16-20 bushings
See Notes below for parts included in this kit
Fits: Tank
Model(s) This Part Fits: E1, E2, M2, SS, SS2
Catalog Page(s): 9-200
Part Description Updated: 9/9/2016","1000W, 120VAC, ~14.5Ω
Size: 6.12"" x 8.78""; 7/16-20 bushings
See Notes below for parts included in this kit","http://www.rpiparts.com/pimages/CHH001.GIF","Notes:
Includes:
Heater
Stainless steel mounting hardware
(2 pc) Sealing Washer (RPI Part #CHW006)
(2 pc) Push-on, Female (High Temperature) (RPI Part #RPT029)"
"CHH016","http://www.rpiparts.com/PartPage.asp?equip=16&oem=16&model=93&rpinum=CHH016","21635","DRAIN HOSE","HYDROCOLLATORS
CHATTANOOGA
E2","RPI Part #CHH016
OEM Part #21635
DRAIN HOSE
Material: Black rubber
Length: 4 ft
Fitting Size: 3/4"" female garden hose thread
Includes: (2) Washer (Hose Bib) (RPI Part #RPH756)
Also available: Water Thief (RPI Part #RPA724)
Fits: Coupler
Model(s) This Part Fits: E2, M2, M4, SS, SS2
Catalog Page(s): 9-201
Part Description Updated: 8/13/2013","Material: Black rubber
Length: 4 ft
Fitting Size: 3/4"" female garden hose thread
Includes: (2) Washer (Hose Bib) (RPI Part #RPH756)
Also available: Water Thief (RPI Part #RPA724)","http://www.rpiparts.com/pimages/CHH016.GIF",""
"CHL005","http://www.rpiparts.com/PartPage.asp?equip=16&oem=16&model=93&rpinum=CHL005","22148 (Old Style)","STANDARD LIGHT","HYDROCOLLATORS
CHATTANOOGA
E2","RPI Part #CHL005
OEM Part #22148 (Old Style)
STANDARD LIGHT
Old Style: .188"" Tabs and 1.281"" x .395"" cut out
1/3W @ 125VAC
Clear lens with metal bezel
Also available: Pilot Light (Red) (RPI Part #CHL011) and Pilot Light (Clear) (RPI Part #CHL012)
Fits: Chassis
Model(s) This Part Fits: E1, E2, M2, M4, SS, SS2
Catalog Page(s): 9-200
Part Description Updated: 10/15/2012","Old Style: .188"" Tabs and 1.281"" x .395"" cut out
1/3W @ 125VAC
Clear lens with metal bezel
Also available: Pilot Light (Red) (RPI Part #CHL011) and Pilot Light (Clear) (RPI Part #CHL012)","http://www.rpiparts.com/pimages/CHL005.GIF",""
"CHL012","http://www.rpiparts.com/PartPage.asp?equip=16&oem=16&model=93&rpinum=CHL012","22148 (New Style)","PILOT LIGHT (CLEAR)","HYDROCOLLATORS
CHATTANOOGA
E2","RPI Part #CHL012
OEM Part #22148 (New Style)
PILOT LIGHT (CLEAR)
New Style: .250"" Tabs and 1.181"" x .433"" cut out
1/3W @ 125VAC
Clear lens with white body
Also available: Standard Light (Old Style) (RPI Part #CHL005) and Piot Light (RED) (RPI Part #CHL011)
See Notes: below for M4 Serial # breakdown
Fits: Chassis
Model(s) This Part Fits: E1, E2, M2, M4, SS, SS2
Catalog Page(s): 9-201
Part Description Updated: 8/13/2013","New Style: .250"" Tabs and 1.181"" x .433"" cut out
1/3W @ 125VAC
Clear lens with white body
Also available: Standard Light (Old Style) (RPI Part #CHL005) and Piot Light (RED) (RPI Part #CHL011)
See Notes: below for M4 Serial # breakdown","http://www.rpiparts.com/pimages/CHL012.GIF","Notes: Fits M4 Serial #5840 to Present"
"CHS004","http://www.rpiparts.com/PartPage.asp?equip=16&oem=16&model=93&rpinum=CHS004","23406","POWER SWITCH","HYDROCOLLATORS
CHATTANOOGA
E2","RPI Part #CHS004
OEM Part #23406
POWER SWITCH
20A @ 250VAC; DPST
Switch (On-Off)
.250"" tabs
Includes: Mounting hardware
Fits: Chassis
Model(s) This Part Fits: E1, E2, M2, M4, SS, SS2
Catalog Page(s): 9-200
Part Description Updated: 10/15/2012","20A @ 250VAC; DPST
Switch (On-Off)
.250"" tabs
Includes: Mounting hardware","http://www.rpiparts.com/pimages/CHS004.GIF",""
"CHT003","http://www.rpiparts.com/PartPage.asp?equip=16&oem=16&model=93&rpinum=CHT003","10631","THERMOSTAT","HYDROCOLLATORS
CHATTANOOGA
E2","RPI Part #CHT003
OEM Part #10631
THERMOSTAT
Off at 140˚ F - 170˚ F
20A @ 120/240VAC
Includes thermostat, Sealing Washer (RPI Part #CHW006), bulkhead fitting with jam nut and flat washer, (2) mounting screws, and bulb mounting bracket
Also available: Bracket (Bulb Support) (RPI Part #CHB018)
Fits: Mounts to Chassis and Tank
Model(s) This Part Fits: D3, E1, E2, M2, M4, SS, SS2
Catalog Page(s): 9-200
Part Description Updated: 12/17/2012","Off at 140˚ F - 170˚ F
20A @ 120/240VAC
Includes thermostat, Sealing Washer (RPI Part #CHW006), bulkhead fitting with jam nut and flat washer, (2) mounting screws, and bulb mounting bracket
Also available: Bracket (Bulb Support) (RPI Part #CHB018)","http://www.rpiparts.com/pimages/CHT003.GIF",""
"CHW006","http://www.rpiparts.com/PartPage.asp?equip=16&oem=16&model=93&rpinum=CHW006","(OEM Part # Not Available)","SEALING WASHER","HYDROCOLLATORS
CHATTANOOGA
E2","RPI Part #CHW006
OEM Part # (OEM Part # Not Available)
SEALING WASHER
3 per package
Size: .445"" ID x .882"" OD x .125"" thk.
Material: Red silicone
See Notes below
Fits: Thermostat and Heater Bushing
Model(s) This Part Fits: D3, E1, E2, M2, M4, SS, SS2
Catalog Page(s): 9-200
Part Description Updated: 6/25/2014","3 per package
Size: .445"" ID x .882"" OD x .125"" thk.
Material: Red silicone
See Notes below","http://www.rpiparts.com/pimages/CHW006.GIF","Notes:
Also Included In:
Heating Element Assembly (RPI Part #CHH001)
Heating Element Assembly (RPI Part #CHH002)
Heating Element (RPI Part #CHH015)
Thermostat (RPI Part #CHT003)"
"RPA724","http://www.rpiparts.com/PartPage.asp?equip=16&oem=16&model=93&rpinum=RPA724","21882","WATER THIEF","HYDROCOLLATORS
CHATTANOOGA
E2","RPI Part #RPA724
OEM Part #21882
WATER THIEF
Connects a garden hose to a threadless faucet
Also available: Washer (Hose Bib) (RPI Part #RPH756) and Drain Hose (RPI Part #CHH016)
Fits: Drain Hose
Model(s) This Part Fits: E2, M2, M4, SS, SS2
Catalog Page(s): 9-201
Part Description Updated: 8/13/2013","Connects a garden hose to a threadless faucet
Also available: Washer (Hose Bib) (RPI Part #RPH756) and Drain Hose (RPI Part #CHH016)","http://www.rpiparts.com/pimages/RPA724.GIF",""
"RPH756","http://www.rpiparts.com/PartPage.asp?equip=16&oem=16&model=93&rpinum=RPH756","(OEM Part # Not Available)","WASHER (HOSE BIB)","HYDROCOLLATORS
CHATTANOOGA
E2","RPI Part #RPH756
OEM Part # (OEM Part # Not Available)
WASHER (HOSE BIB)
10 per package
Material: Red rubber
Fits any standard garden hose thread
Also available: Drain Hose (RPI Part #CHH016) and Water Thief (RPI Part #RPA724)
Fits: Drain Hose
Model(s) This Part Fits: E2, M2, M4, SS, SS2
Catalog Page(s): 9-201
Part Description Updated: 6/25/2014","10 per package
Material: Red rubber
Fits any standard garden hose thread
Also available: Drain Hose (RPI Part #CHH016) and Water Thief (RPI Part #RPA724)","http://www.rpiparts.com/pimages/RPH756.GIF",""
