"selection3_name","selection3_url","selection3_selection4","selection3_selection5","selection3_selection6","selection3_selection7","selection3_selection8","selection3_selection9","selection3_selection10"
"GEB006","http://www.rpiparts.com/PartPage.asp?equip=28&oem=191&model=721&rpinum=GEB006","320378","NO LONGER AVAILABLE","NON-INVASIVE BLOOD PRESSURE MONITORS
GE/CRITIKON
Dinamap™ 8120","RPI Part #GEB006
OEM Part #320378
BATTERY
12VDC, 2.8 AMP. Hr.
5.24"" L x 1.30"" W x 3.82"" H
Rechargeable sealed lead acid
Includes (2 pieces) Bumper and (2) ~1.0"" x ~1.0"" Velcro® Loop
SDS Sheet Available See Notes Below
Fits: Chassis
Model(s) This Part Fits: Dinamap™ 8100, Dinamap™ 8100T, Dinamap™ 8110, Dinamap™ 8120, Dinamap™ 9300, Dinamap™ 9340, Dinamap™ 9350, Dinamap™ 9400, Dinamap™ 9500XL
Catalog Page(s): 5-301
Part Description Updated: 9/4/2015","12VDC, 2.8 AMP. Hr.
5.24"" L x 1.30"" W x 3.82"" H
Rechargeable sealed lead acid
Includes (2 pieces) Bumper and (2) ~1.0"" x ~1.0"" Velcro® Loop
SDS Sheet Available See Notes Below","http://www.rpiparts.com/pimages/GEB006.GIF","Notes: Please see the Safety Data Sheet for this part. (Adobe PDF)"
"GEB006","http://www.rpiparts.com/PartPage.asp?equip=28&oem=191&model=722&rpinum=GEB006","320378","NO LONGER AVAILABLE","NON-INVASIVE BLOOD PRESSURE MONITORS
GE/CRITIKON
Dinamap™ 9300","RPI Part #GEB006
OEM Part #320378
BATTERY
12VDC, 2.8 AMP. Hr.
5.24"" L x 1.30"" W x 3.82"" H
Rechargeable sealed lead acid
Includes (2 pieces) Bumper and (2) ~1.0"" x ~1.0"" Velcro® Loop
SDS Sheet Available See Notes Below
Fits: Chassis
Model(s) This Part Fits: Dinamap™ 8100, Dinamap™ 8100T, Dinamap™ 8110, Dinamap™ 8120, Dinamap™ 9300, Dinamap™ 9340, Dinamap™ 9350, Dinamap™ 9400, Dinamap™ 9500XL
Catalog Page(s): 5-301
Part Description Updated: 9/4/2015","12VDC, 2.8 AMP. Hr.
5.24"" L x 1.30"" W x 3.82"" H
Rechargeable sealed lead acid
Includes (2 pieces) Bumper and (2) ~1.0"" x ~1.0"" Velcro® Loop
SDS Sheet Available See Notes Below","http://www.rpiparts.com/pimages/GEB006.GIF","Notes: Please see the Safety Data Sheet for this part. (Adobe PDF)"
"GEC013","http://www.rpiparts.com/PartPage.asp?equip=28&oem=191&model=722&rpinum=GEC013","316341","NO LONGER AVAILABLE","NON-INVASIVE BLOOD PRESSURE MONITORS
GE/CRITIKON
Dinamap™ 9300","RPI Part #GEC013
OEM Part #316341
BATTERY CABLE
Fits: Power supply PCB
Model(s) This Part Fits: Dinamap™ 8100, Dinamap™ 8100T, Dinamap™ 9300, Dinamap™ 9340
Catalog Page(s): 5-301
Part Description Updated: 12/28/2012","","http://www.rpiparts.com/pimages/GEC013.GIF",""
"GEP004","http://www.rpiparts.com/PartPage.asp?equip=28&oem=191&model=722&rpinum=GEP004","320413","PUMP ASSEMBLY","NON-INVASIVE BLOOD PRESSURE MONITORS
GE/CRITIKON
Dinamap™ 9300","RPI Part #GEP004
OEM Part #320413
PUMP ASSEMBLY
Includes Tubing (RPI Part #RPT645), Barbed Elbow Fitting (RPI Part #RPF641), Check Valve (RPI Part #RPV642), Mounting Bracket, Hardware, Pump and Wire Harness
Fits: Chassis
Model(s) This Part Fits: Dinamap™ 8100, Dinamap™ 8100T, Dinamap™ 9300, Dinamap™ 9340
Catalog Page(s): 5-300
Part Description Updated: 2/11/2009","Includes Tubing (RPI Part #RPT645), Barbed Elbow Fitting (RPI Part #RPF641), Check Valve (RPI Part #RPV642), Mounting Bracket, Hardware, Pump and Wire Harness","http://www.rpiparts.com/pimages/GEP004.GIF",""
"RPF641","http://www.rpiparts.com/PartPage.asp?equip=28&oem=191&model=722&rpinum=RPF641","(OEM Part # Not Available)","ELBOW FITTING","NON-INVASIVE BLOOD PRESSURE MONITORS
GE/CRITIKON
Dinamap™ 9300","RPI Part #RPF641
OEM Part # (OEM Part # Not Available)
ELBOW FITTING
5 per package
Also included in Pump Assembly (RPI Part #GEP004)
Fits: Pump Assembly
Model(s) This Part Fits: Dinamap™ 8100, Dinamap™ 8100T, Dinamap™ 9300, Dinamap™ 9340
Part Description Updated: 1/6/2015","5 per package
Also included in Pump Assembly (RPI Part #GEP004)","http://www.rpiparts.com/pimages/RPF641.GIF",""
"RPT645","http://www.rpiparts.com/PartPage.asp?equip=28&oem=191&model=722&rpinum=RPT645","740107","TUBING","NON-INVASIVE BLOOD PRESSURE MONITORS
GE/CRITIKON
Dinamap™ 9300","RPI Part #RPT645
OEM Part #740107
TUBING
1/8"" OD x 1/4"" ID
Opaque beige; blended silcone
Sold by the foot (Reel not included)
USP class VI certified
Temperature rated: -75 to 275°F: maximum pressure: 19 PSI
Autoclavable
Fits: Pump Assembly
Model(s) This Part Fits: Dinamap™ 8100, Dinamap™ 8100T, Dinamap™ 9300, Dinamap™ 9340
Catalog Page(s): 5-300
Part Description Updated: 7/31/2014","1/8"" OD x 1/4"" ID
Opaque beige; blended silcone
Sold by the foot (Reel not included)
USP class VI certified
Temperature rated: -75 to 275°F: maximum pressure: 19 PSI
Autoclavable","http://www.rpiparts.com/pimages/RPT645.GIF",""
"RPV642","http://www.rpiparts.com/PartPage.asp?equip=28&oem=191&model=722&rpinum=RPV642","754116","CHECK VALVE","NON-INVASIVE BLOOD PRESSURE MONITORS
GE/CRITIKON
Dinamap™ 9300","RPI Part #RPV642
OEM Part #754116
CHECK VALVE
1/8"" barbs
Polypropylene
Cracking pressure: .11 PSI
Fits: Pump Assembly
Model(s) This Part Fits: Dinamap™ 8100, Dinamap™ 8100T, Dinamap™ 9300, Dinamap™ 9340
Catalog Page(s): 5-300
Part Description Updated: 7/31/2014","1/8"" barbs
Polypropylene
Cracking pressure: .11 PSI","http://www.rpiparts.com/pimages/RPV642.GIF",""
"GEB006","http://www.rpiparts.com/PartPage.asp?equip=28&oem=191&model=723&rpinum=GEB006","320378","NO LONGER AVAILABLE","NON-INVASIVE BLOOD PRESSURE MONITORS
GE/CRITIKON
Dinamap™ 9340","RPI Part #GEB006
OEM Part #320378
BATTERY
12VDC, 2.8 AMP. Hr.
5.24"" L x 1.30"" W x 3.82"" H
Rechargeable sealed lead acid
Includes (2 pieces) Bumper and (2) ~1.0"" x ~1.0"" Velcro® Loop
SDS Sheet Available See Notes Below
Fits: Chassis
Model(s) This Part Fits: Dinamap™ 8100, Dinamap™ 8100T, Dinamap™ 8110, Dinamap™ 8120, Dinamap™ 9300, Dinamap™ 9340, Dinamap™ 9350, Dinamap™ 9400, Dinamap™ 9500XL
Catalog Page(s): 5-301
Part Description Updated: 9/4/2015","12VDC, 2.8 AMP. Hr.
5.24"" L x 1.30"" W x 3.82"" H
Rechargeable sealed lead acid
Includes (2 pieces) Bumper and (2) ~1.0"" x ~1.0"" Velcro® Loop
SDS Sheet Available See Notes Below","http://www.rpiparts.com/pimages/GEB006.GIF","Notes: Please see the Safety Data Sheet for this part. (Adobe PDF)"
"GEC013","http://www.rpiparts.com/PartPage.asp?equip=28&oem=191&model=723&rpinum=GEC013","316341","NO LONGER AVAILABLE","NON-INVASIVE BLOOD PRESSURE MONITORS
GE/CRITIKON
Dinamap™ 9340","RPI Part #GEC013
OEM Part #316341
BATTERY CABLE
Fits: Power supply PCB
Model(s) This Part Fits: Dinamap™ 8100, Dinamap™ 8100T, Dinamap™ 9300, Dinamap™ 9340
Catalog Page(s): 5-301
Part Description Updated: 12/28/2012","","http://www.rpiparts.com/pimages/GEC013.GIF",""
"GEP004","http://www.rpiparts.com/PartPage.asp?equip=28&oem=191&model=723&rpinum=GEP004","320413","PUMP ASSEMBLY","NON-INVASIVE BLOOD PRESSURE MONITORS
GE/CRITIKON
Dinamap™ 9340","RPI Part #GEP004
OEM Part #320413
PUMP ASSEMBLY
Includes Tubing (RPI Part #RPT645), Barbed Elbow Fitting (RPI Part #RPF641), Check Valve (RPI Part #RPV642), Mounting Bracket, Hardware, Pump and Wire Harness
Fits: Chassis
Model(s) This Part Fits: Dinamap™ 8100, Dinamap™ 8100T, Dinamap™ 9300, Dinamap™ 9340
Catalog Page(s): 5-300
Part Description Updated: 2/11/2009","Includes Tubing (RPI Part #RPT645), Barbed Elbow Fitting (RPI Part #RPF641), Check Valve (RPI Part #RPV642), Mounting Bracket, Hardware, Pump and Wire Harness","http://www.rpiparts.com/pimages/GEP004.GIF",""
"RPF641","http://www.rpiparts.com/PartPage.asp?equip=28&oem=191&model=723&rpinum=RPF641","(OEM Part # Not Available)","ELBOW FITTING","NON-INVASIVE BLOOD PRESSURE MONITORS
GE/CRITIKON
Dinamap™ 9340","RPI Part #RPF641
OEM Part # (OEM Part # Not Available)
ELBOW FITTING
5 per package
Also included in Pump Assembly (RPI Part #GEP004)
Fits: Pump Assembly
Model(s) This Part Fits: Dinamap™ 8100, Dinamap™ 8100T, Dinamap™ 9300, Dinamap™ 9340
Part Description Updated: 1/6/2015","5 per package
Also included in Pump Assembly (RPI Part #GEP004)","http://www.rpiparts.com/pimages/RPF641.GIF",""
