"selection3_name","selection3_url","selection3_selection4","selection3_selection5","selection3_selection6","selection3_selection7","selection3_selection8","selection3_selection9"
"LMP018","http://www.rpiparts.com/PartPage.asp?equip=40&oem=2&model=534&rpinum=LMP018","0208-0516-300/17 807 45","LAMP (12V, 50W)","PHOTOTHERAPY LIGHTS
DRAGER • HILL-ROM • AIR SHIELDS
IICS Phototherapy System 7850","RPI Part #LMP018
OEM Part #0208-0516-300/17 807 45
Industry Part #EXZ/P
LAMP (12V, 50W)
Base: 2 Pin
Type: Halogen; EXZ/CC
Model(s) This Part Fits: IICS Phototherapy System 7850, PTM-78-2
Catalog Page(s): 7-400
Part Description Updated: 2/21/2013","Base: 2 Pin
Type: Halogen; EXZ/CC","http://www.rpiparts.com/pimages/LMP018.GIF"
"LMP016","http://www.rpiparts.com/PartPage.asp?equip=40&oem=2&model=530&rpinum=LMP016","43 003 65","LAMP (120V, 250W)","PHOTOTHERAPY LIGHTS
DRAGER • HILL-ROM • AIR SHIELDS
PT1400","RPI Part #LMP016
OEM Part #43 003 65
Industry Part #ENH
LAMP (120V, 250W)
Blue Phototherapy/Procedure Light
Base: 2 Pin
Type: Halogen; ENH
Model(s) This Part Fits: PT1400, PT1400-1
Catalog Page(s): 7-400
Part Description Updated: 1/19/2012","Blue Phototherapy/Procedure Light
Base: 2 Pin
Type: Halogen; ENH","http://www.rpiparts.com/pimages/LMP016.GIF"
"LMP016","http://www.rpiparts.com/PartPage.asp?equip=40&oem=2&model=531&rpinum=LMP016","43 003 65","LAMP (120V, 250W)","PHOTOTHERAPY LIGHTS
DRAGER • HILL-ROM • AIR SHIELDS
PT1400-1","RPI Part #LMP016
OEM Part #43 003 65
Industry Part #ENH
LAMP (120V, 250W)
Blue Phototherapy/Procedure Light
Base: 2 Pin
Type: Halogen; ENH
Model(s) This Part Fits: PT1400, PT1400-1
Catalog Page(s): 7-400
Part Description Updated: 1/19/2012","Blue Phototherapy/Procedure Light
Base: 2 Pin
Type: Halogen; ENH","http://www.rpiparts.com/pimages/LMP016.GIF"
"LMP017","http://www.rpiparts.com/PartPage.asp?equip=40&oem=2&model=532&rpinum=LMP017","43 004 70","LAMP (20V, 150W)","PHOTOTHERAPY LIGHTS
DRAGER • HILL-ROM • AIR SHIELDS
PT1400-2","RPI Part #LMP017
OEM Part #43 004 70
Industry Part #DDL
LAMP (20V, 150W)
Cream Phototherapy/Procedure Light
Base: 2 Pin
Type: Halogen; DDL
Model(s) This Part Fits: PT1400-2, PT1400-2E
Catalog Page(s): 7-400
Part Description Updated: 1/19/2012","Cream Phototherapy/Procedure Light
Base: 2 Pin
Type: Halogen; DDL","http://www.rpiparts.com/pimages/LMP017.GIF"
"LMP017","http://www.rpiparts.com/PartPage.asp?equip=40&oem=2&model=533&rpinum=LMP017","43 004 70","LAMP (20V, 150W)","PHOTOTHERAPY LIGHTS
DRAGER • HILL-ROM • AIR SHIELDS
PT1400-2E","RPI Part #LMP017
OEM Part #43 004 70
Industry Part #DDL
LAMP (20V, 150W)
Cream Phototherapy/Procedure Light
Base: 2 Pin
Type: Halogen; DDL
Model(s) This Part Fits: PT1400-2, PT1400-2E
Catalog Page(s): 7-400
Part Description Updated: 1/19/2012","Cream Phototherapy/Procedure Light
Base: 2 Pin
Type: Halogen; DDL","http://www.rpiparts.com/pimages/LMP017.GIF"
"LMP019","http://www.rpiparts.com/PartPage.asp?equip=40&oem=2&model=536&rpinum=LMP019","17 806 61","FLUORESCENT LAMP (BLUE)","PHOTOTHERAPY LIGHTS
DRAGER • HILL-ROM • AIR SHIELDS
PT533","RPI Part #LMP019
OEM Part #17 806 61
Industry Part #F20T12/BB, TL20W/52
FLUORESCENT LAMP (BLUE)
20W; 120V
Size: 1-1/2"" OD x 24"" lg.
Model(s) This Part Fits: PT533
Catalog Page(s): 7-400
Part Description Updated: 3/25/2016","20W; 120V
Size: 1-1/2"" OD x 24"" lg.","http://www.rpiparts.com/pimages/LMP019.GIF"
"LMP020","http://www.rpiparts.com/PartPage.asp?equip=40&oem=2&model=536&rpinum=LMP020","17 806 94","FLUORESCENT LAMP (WHITE)","PHOTOTHERAPY LIGHTS
DRAGER • HILL-ROM • AIR SHIELDS
PT533","RPI Part #LMP020
OEM Part #17 806 94
Industry Part #F20T12/D
FLUORESCENT LAMP (WHITE)
20W; 120V
1-1/2"" OD X 24"" lg
Model(s) This Part Fits: PT533
Catalog Page(s): 7-400
Part Description Updated: 3/21/2016","20W; 120V
1-1/2"" OD X 24"" lg","http://www.rpiparts.com/pimages/LMP020.GIF"
"LMP018","http://www.rpiparts.com/PartPage.asp?equip=40&oem=2&model=535&rpinum=LMP018","0208-0516-300/17 807 45","LAMP (12V, 50W)","PHOTOTHERAPY LIGHTS
DRAGER • HILL-ROM • AIR SHIELDS
PTM-78-2","RPI Part #LMP018
OEM Part #0208-0516-300/17 807 45
Industry Part #EXZ/P
LAMP (12V, 50W)
Base: 2 Pin
Type: Halogen; EXZ/CC
Model(s) This Part Fits: IICS Phototherapy System 7850, PTM-78-2
Catalog Page(s): 7-400
Part Description Updated: 2/21/2013","Base: 2 Pin
Type: Halogen; EXZ/CC","http://www.rpiparts.com/pimages/LMP018.GIF"
"LMP029","http://www.rpiparts.com/PartPage.asp?equip=40&oem=216&model=3893&rpinum=LMP029","6600-0235-850","LAMP (52VDC, 50W)","PHOTOTHERAPY LIGHTS
GE • OHMEDA
Giraffe® SPOT PT Lite™","RPI Part #LMP029
OEM Part #6600-0235-850
LAMP (52VDC, 50W)
Metal Halide Solarc™ brand
2 Pin
Also available: Ballast (50W Regulated) (RPI Part #OMB061)
Fits: Lamp Ballast
Model(s) This Part Fits: Giraffe® SPOT PT Lite™
Catalog Page(s): 7-217, 7-400
Part Description Updated: 12/2/2015","Metal Halide Solarc™ brand
2 Pin
Also available: Ballast (50W Regulated) (RPI Part #OMB061)","http://www.rpiparts.com/pimages/LMP029.GIF"
"OMB061","http://www.rpiparts.com/PartPage.asp?equip=40&oem=216&model=3893&rpinum=OMB061","6600-0248-850","BALLAST (50W REGULATED)","PHOTOTHERAPY LIGHTS
GE • OHMEDA
Giraffe® SPOT PT Lite™","RPI Part #OMB061
OEM Part #6600-0248-850
BALLAST (50W REGULATED)
50 VDC, 50 W
Used with 50W Solarc™ Lamp only
Also available: Lamp (52V, 50W) (RPI Part #LMP029)
Fits: Chassis
Model(s) This Part Fits: Giraffe® SPOT PT Lite™
Catalog Page(s): 7-217, 7-400
Part Description Updated: 9/18/2015","50 VDC, 50 W
Used with 50W Solarc™ Lamp only
Also available: Lamp (52V, 50W) (RPI Part #LMP029)",""
