"selection3_name","selection3_url","selection3_selection4","selection3_selection5","selection3_selection6","selection3_selection7","selection3_selection8","selection3_selection9","selection3_selection10"
"LMP110","http://www.rpiparts.com/PartPage.asp?equip=38&oem=189&model=3563&rpinum=LMP110","WA-03000-U","LAMP","WELCH ALLYN WALL TRANSFORMERS
WELCH ALLYN
11710 Opthalmoscope","RPI Part #LMP110
OEM Part #WA-03000-U
LAMP
6 per package
3.5V, 2.52W
Shape: T1.5
Xenon
Single contact 8mm flange
See Notes below regarding 767 and 74710 Wall Transformers
Fits: Examination Head
Model(s) This Part Fits: 11600 Opthalmoscope, 11605 Opthalmoscope, 11610 Opthalmoscope, 11710 Opthalmoscope, 12400 Strabismoscope, 18000 Retinoscope, 43700 Episcope, 74710 Wall Transformer, 767 Wall Transformer
Catalog Page(s): 5-501
Part Description Updated: 10/23/2015","6 per package
3.5V, 2.52W
Shape: T1.5
Xenon
Single contact 8mm flange
See Notes below regarding 767 and 74710 Wall Transformers","http://www.rpiparts.com/pimages/LMP110.GIF","Notes: Also available: Repair parts to fit the Welch Allyn 767 and 74710 Wall Transformers"
"LMP112","http://www.rpiparts.com/PartPage.asp?equip=38&oem=189&model=3564&rpinum=LMP112","WA-03800-U","LAMP","WELCH ALLYN WALL TRANSFORMERS
WELCH ALLYN
11800 Opthalmoscope","RPI Part #LMP112
OEM Part #WA-03800-U
LAMP
6 per package
3.5V, 2.33W
Shape: T1.5
Xenon
See Notes below regarding 767 and 74710 Wall Transformers
Fits: Examination Head
Model(s) This Part Fits: 11800 Opthalmoscope, 11810 Opthalmoscope, 11820 Opthalmoscope, 74710 Wall Transformer, 767 Wall Transformer
Catalog Page(s): 5-501
Part Description Updated: 10/23/2015","6 per package
3.5V, 2.33W
Shape: T1.5
Xenon
See Notes below regarding 767 and 74710 Wall Transformers","http://www.rpiparts.com/pimages/LMP112.GIF","Notes: Note; Also available: Repair parts to fit the Welch Allyn 767 and 74710 Wall Transformers"
"LMP112","http://www.rpiparts.com/PartPage.asp?equip=38&oem=189&model=3565&rpinum=LMP112","WA-03800-U","LAMP","WELCH ALLYN WALL TRANSFORMERS
WELCH ALLYN
11810 Opthalmoscope","RPI Part #LMP112
OEM Part #WA-03800-U
LAMP
6 per package
3.5V, 2.33W
Shape: T1.5
Xenon
See Notes below regarding 767 and 74710 Wall Transformers
Fits: Examination Head
Model(s) This Part Fits: 11800 Opthalmoscope, 11810 Opthalmoscope, 11820 Opthalmoscope, 74710 Wall Transformer, 767 Wall Transformer
Catalog Page(s): 5-501
Part Description Updated: 10/23/2015","6 per package
3.5V, 2.33W
Shape: T1.5
Xenon
See Notes below regarding 767 and 74710 Wall Transformers","http://www.rpiparts.com/pimages/LMP112.GIF","Notes: Note; Also available: Repair parts to fit the Welch Allyn 767 and 74710 Wall Transformers"
"LMP112","http://www.rpiparts.com/PartPage.asp?equip=38&oem=189&model=3566&rpinum=LMP112","WA-03800-U","LAMP","WELCH ALLYN WALL TRANSFORMERS
WELCH ALLYN
11820 Opthalmoscope","RPI Part #LMP112
OEM Part #WA-03800-U
LAMP
6 per package
3.5V, 2.33W
Shape: T1.5
Xenon
See Notes below regarding 767 and 74710 Wall Transformers
Fits: Examination Head
Model(s) This Part Fits: 11800 Opthalmoscope, 11810 Opthalmoscope, 11820 Opthalmoscope, 74710 Wall Transformer, 767 Wall Transformer
Catalog Page(s): 5-501
Part Description Updated: 10/23/2015","6 per package
3.5V, 2.33W
Shape: T1.5
Xenon
See Notes below regarding 767 and 74710 Wall Transformers","http://www.rpiparts.com/pimages/LMP112.GIF","Notes: Note; Also available: Repair parts to fit the Welch Allyn 767 and 74710 Wall Transformers"
"LMP110","http://www.rpiparts.com/PartPage.asp?equip=38&oem=189&model=3567&rpinum=LMP110","WA-03000-U","LAMP","WELCH ALLYN WALL TRANSFORMERS
WELCH ALLYN
12400 Strabismoscope","RPI Part #LMP110
OEM Part #WA-03000-U
LAMP
6 per package
3.5V, 2.52W
Shape: T1.5
Xenon
Single contact 8mm flange
See Notes below regarding 767 and 74710 Wall Transformers
Fits: Examination Head
Model(s) This Part Fits: 11600 Opthalmoscope, 11605 Opthalmoscope, 11610 Opthalmoscope, 11710 Opthalmoscope, 12400 Strabismoscope, 18000 Retinoscope, 43700 Episcope, 74710 Wall Transformer, 767 Wall Transformer
Catalog Page(s): 5-501
Part Description Updated: 10/23/2015","6 per package
3.5V, 2.52W
Shape: T1.5
Xenon
Single contact 8mm flange
See Notes below regarding 767 and 74710 Wall Transformers","http://www.rpiparts.com/pimages/LMP110.GIF","Notes: Also available: Repair parts to fit the Welch Allyn 767 and 74710 Wall Transformers"
"LMP110","http://www.rpiparts.com/PartPage.asp?equip=38&oem=189&model=3568&rpinum=LMP110","WA-03000-U","LAMP","WELCH ALLYN WALL TRANSFORMERS
WELCH ALLYN
18000 Retinoscope","RPI Part #LMP110
OEM Part #WA-03000-U
LAMP
6 per package
3.5V, 2.52W
Shape: T1.5
Xenon
Single contact 8mm flange
See Notes below regarding 767 and 74710 Wall Transformers
Fits: Examination Head
Model(s) This Part Fits: 11600 Opthalmoscope, 11605 Opthalmoscope, 11610 Opthalmoscope, 11710 Opthalmoscope, 12400 Strabismoscope, 18000 Retinoscope, 43700 Episcope, 74710 Wall Transformer, 767 Wall Transformer
Catalog Page(s): 5-501
Part Description Updated: 10/23/2015","6 per package
3.5V, 2.52W
Shape: T1.5
Xenon
Single contact 8mm flange
See Notes below regarding 767 and 74710 Wall Transformers","http://www.rpiparts.com/pimages/LMP110.GIF","Notes: Also available: Repair parts to fit the Welch Allyn 767 and 74710 Wall Transformers"
"LMP109","http://www.rpiparts.com/PartPage.asp?equip=38&oem=189&model=3569&rpinum=LMP109","WA-03100-U","LAMP","WELCH ALLYN WALL TRANSFORMERS
WELCH ALLYN
20000 Otoscope","RPI Part #LMP109
OEM Part #WA-03100-U
LAMP
6 per package
3.5V, 2.52W
Shape: T1.5
Xenon
See Notes below regarding 767 and 74710 Wall Transformers
Fits: Examination Head
Model(s) This Part Fits: 20000 Otoscope, 20200 Otoscope, 20202 Otoscope, 21700 Otoscope, 25000 Otoscope, 25020 Otoscope, 25200 Otoscope, 26530 Illuminator, 27000 Illuminator, 27050 Illuminator, 28100 Tongue Blade Holder, 41100 Illuminator, 43300 Illuminator, 73500 Handler Adapter, 74710 Wall Transformer, 767 Wall Transformer
Catalog Page(s): 5-501
Part Description Updated: 3/25/2016","6 per package
3.5V, 2.52W
Shape: T1.5
Xenon
See Notes below regarding 767 and 74710 Wall Transformers","http://www.rpiparts.com/pimages/LMP109.GIF","Notes:
Also available: Repair parts to fit the Welch Allyn 767 and 74710 Wall Transformers."
"LMP109","http://www.rpiparts.com/PartPage.asp?equip=38&oem=189&model=3570&rpinum=LMP109","WA-03100-U","LAMP","WELCH ALLYN WALL TRANSFORMERS
WELCH ALLYN
20200 Otoscope","RPI Part #LMP109
OEM Part #WA-03100-U
LAMP
6 per package
3.5V, 2.52W
Shape: T1.5
Xenon
See Notes below regarding 767 and 74710 Wall Transformers
Fits: Examination Head
Model(s) This Part Fits: 20000 Otoscope, 20200 Otoscope, 20202 Otoscope, 21700 Otoscope, 25000 Otoscope, 25020 Otoscope, 25200 Otoscope, 26530 Illuminator, 27000 Illuminator, 27050 Illuminator, 28100 Tongue Blade Holder, 41100 Illuminator, 43300 Illuminator, 73500 Handler Adapter, 74710 Wall Transformer, 767 Wall Transformer
Catalog Page(s): 5-501
Part Description Updated: 3/25/2016","6 per package
3.5V, 2.52W
Shape: T1.5
Xenon
See Notes below regarding 767 and 74710 Wall Transformers","http://www.rpiparts.com/pimages/LMP109.GIF","Notes:
Also available: Repair parts to fit the Welch Allyn 767 and 74710 Wall Transformers."
"LMP109","http://www.rpiparts.com/PartPage.asp?equip=38&oem=189&model=3571&rpinum=LMP109","WA-03100-U","LAMP","WELCH ALLYN WALL TRANSFORMERS
WELCH ALLYN
20202 Otoscope","RPI Part #LMP109
OEM Part #WA-03100-U
LAMP
6 per package
3.5V, 2.52W
Shape: T1.5
Xenon
See Notes below regarding 767 and 74710 Wall Transformers
Fits: Examination Head
Model(s) This Part Fits: 20000 Otoscope, 20200 Otoscope, 20202 Otoscope, 21700 Otoscope, 25000 Otoscope, 25020 Otoscope, 25200 Otoscope, 26530 Illuminator, 27000 Illuminator, 27050 Illuminator, 28100 Tongue Blade Holder, 41100 Illuminator, 43300 Illuminator, 73500 Handler Adapter, 74710 Wall Transformer, 767 Wall Transformer
Catalog Page(s): 5-501
Part Description Updated: 3/25/2016","6 per package
3.5V, 2.52W
Shape: T1.5
Xenon
See Notes below regarding 767 and 74710 Wall Transformers","http://www.rpiparts.com/pimages/LMP109.GIF","Notes:
Also available: Repair parts to fit the Welch Allyn 767 and 74710 Wall Transformers."
"LMP109","http://www.rpiparts.com/PartPage.asp?equip=38&oem=189&model=3572&rpinum=LMP109","WA-03100-U","LAMP","WELCH ALLYN WALL TRANSFORMERS
WELCH ALLYN
21700 Otoscope","RPI Part #LMP109
OEM Part #WA-03100-U
LAMP
6 per package
3.5V, 2.52W
Shape: T1.5
Xenon
See Notes below regarding 767 and 74710 Wall Transformers
Fits: Examination Head
Model(s) This Part Fits: 20000 Otoscope, 20200 Otoscope, 20202 Otoscope, 21700 Otoscope, 25000 Otoscope, 25020 Otoscope, 25200 Otoscope, 26530 Illuminator, 27000 Illuminator, 27050 Illuminator, 28100 Tongue Blade Holder, 41100 Illuminator, 43300 Illuminator, 73500 Handler Adapter, 74710 Wall Transformer, 767 Wall Transformer
Catalog Page(s): 5-501
Part Description Updated: 3/25/2016","6 per package
3.5V, 2.52W
Shape: T1.5
Xenon
See Notes below regarding 767 and 74710 Wall Transformers","http://www.rpiparts.com/pimages/LMP109.GIF","Notes:
Also available: Repair parts to fit the Welch Allyn 767 and 74710 Wall Transformers."
